	AUG-001	AUG-002	AUG-003	AUG-004	AUG-005	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-010	DES-012	DES-013	DES-014	DES-018	WLT-001	WLT-002	WLT-003	WLT-004	WLT-005	WLT-006	WLT-007	WLT-008	WLT-009	WLT-011	WLT-013	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-021	WLT-022	WLT-023	WLT-024	WLT-035	WLT-037
AUG-001	0.0	0.11808957167531864	0.05894555584596983	0.03863304548483793	0.05298116023110423	0.041154097349677815	0.04777214245703934	0.041390792980675224	0.06112787695043028	0.04371266865495866	0.15640495528544382	0.04387598936996279	0.038458471487872646	0.04608341445786911	0.04654801127335477	0.06538781575785389	0.0444721352504213	0.05502725883193561	0.08213982480053961	0.03946951144364393	0.03670577678915952	0.037667793817475946	0.18819785641665635	0.050374750155399654	0.0493742050058742	0.035600131631846235	0.04324210232015441	0.04652078039842503	0.03370291318114082	0.040662263379519045	0.048800210251710566	0.04630662780121618	0.044550122027774676	0.14519378149316736	0.03713954030379302	0.030391023166318958	0.10639882934900627	0.0606874644448005	0.06103405494150791
AUG-002	0.11808957167531864	0.0	0.10463277143718419	0.10320503237379923	0.12404142477917297	0.11449313922442593	0.12038042799485026	0.12510732006984424	0.11961999706517844	0.13369046525327602	0.15813156710738463	0.12210348074350556	0.12573718072788798	0.11186050225843867	0.13928793180239044	0.1386093396128558	0.11471943935979892	0.10921033127142024	0.13853555719318436	0.10453570496252307	0.12579663886529416	0.12832090131122517	0.19569324384838774	0.13962978505987844	0.1423419298551854	0.13263287212691421	0.12665511314352787	0.1404132853147314	0.13995955921975897	0.14308159869051873	0.12002004344449305	0.11681225127291946	0.14450946485078614	0.16000166472448935	0.13729800299352213	0.13533557198822124	0.1391204219528202	0.13712569015369433	0.1360099210718473
AUG-003	0.05894555584596983	0.10463277143718419	0.0	0.036481001003610014	0.03161683281758386	0.051411132596207165	0.06013492016686889	0.04263020735216114	0.036569273832925894	0.08757381324634146	0.16184395160584988	0.03552190720591689	0.04370553568674434	0.04320193400168083	0.04939813296790145	0.10763538336219788	0.035503027472019666	0.020608812139469596	0.12377222350172817	0.06436548378189344	0.08049195497408845	0.08957821720519145	0.214567787062192	0.05800862053974456	0.09788018671862626	0.06851473489804785	0.0374642221749593	0.05280564976541792	0.08360551601853654	0.08887897816813167	0.032217892399161896	0.03650957009673483	0.06364656592569198	0.1744747693854073	0.07017068444770586	0.07696204720410973	0.14640585603735204	0.049682203261957436	0.10816750899667991
AUG-004	0.03863304548483793	0.10320503237379923	0.036481001003610014	0.0	0.03305353753615799	0.03994491149623207	0.04732456755947187	0.040595533905721196	0.0431610427491523	0.0710775717710784	0.15724011159078638	0.027347152689225395	0.029096640469894686	0.02938498421301116	0.05173705472829274	0.090181491269534	0.03817621533246936	0.04404341937319853	0.10412947580671128	0.05580854640152863	0.0652726869320436	0.07012483141001098	0.20907776300946343	0.0533184432387987	0.08255335608711385	0.046447203929296625	0.04411898083157991	0.053957166187070055	0.06298654108343299	0.06957588092790515	0.0380854691608314	0.041267026578461576	0.057635831993629816	0.16532992418687398	0.05444529665100625	0.05642041314417562	0.13605358604076964	0.049463639295054845	0.0929929182180336
AUG-005	0.05298116023110423	0.12404142477917297	0.03161683281758386	0.03305353753615799	0.0	0.04854526558070595	0.04826248560392751	0.034674911156986885	0.037262223370296034	0.07433828586206001	0.16839798009465667	0.02918840106476645	0.02368954488053161	0.025101656924330217	0.03608920416877384	0.09712884009391233	0.030578960978594437	0.03058742238892709	0.11464539950819695	0.06958601314989916	0.07431871482626708	0.08132069898363753	0.21343446775622782	0.03784159847823988	0.08600097878924697	0.05391947545044233	0.031898597958085334	0.041813607959187114	0.06485440163300288	0.07287433855010933	0.02571725478692875	0.0380292997957217	0.03508486102820008	0.1742141098315824	0.04588380193395807	0.06002112468013776	0.1461315112524301	0.030677124154071544	0.10056557597142313
AUG-006	0.041154097349677815	0.11449313922442593	0.051411132596207165	0.03994491149623207	0.04854526558070595	0.0	0.02229986682537909	0.05944860325503878	0.03257146523723044	0.061023816583042775	0.15788221986214238	0.04657574080474225	0.04168192484078211	0.05881844820138565	0.06673034387053366	0.08151388938040331	0.05882710731372937	0.06061580513319938	0.0983779404237551	0.0612491129214776	0.05996971517710604	0.06792654238185311	0.1832667688777334	0.07029092583397464	0.07446662531225616	0.06011327394414934	0.06522528034020905	0.07066476670179969	0.05936440537258051	0.06332231774198892	0.06089884536654704	0.0679561673772517	0.06563134318394252	0.1448239957877013	0.058746454919523565	0.05401323721994517	0.12156540348196025	0.07041906192676547	0.08534726002376188
AUG-007	0.04777214245703934	0.12038042799485026	0.06013492016686889	0.04732456755947187	0.04826248560392751	0.02229986682537909	0.0	0.06648098207475071	0.051174419730095885	0.05762119165111846	0.151594248622752	0.05196252665938877	0.046716411763995956	0.058536767804674344	0.07670082097915709	0.0781829334611968	0.06857933088566696	0.06725627554819236	0.09549367178662381	0.05496000614425839	0.05761484843253076	0.06525853159961044	0.18293131768205845	0.07554474285597036	0.0717289424990929	0.06936135797590615	0.0724068241198499	0.08167939936992567	0.05403833751003726	0.059332564508726	0.06859909738624123	0.07548663424848175	0.06911308097236878	0.14611230428572689	0.05623221772358737	0.0503592347600174	0.11934899184053616	0.07179146628715302	0.08185734462634818
AUG-008	0.041390792980675224	0.12510732006984424	0.04263020735216114	0.040595533905721196	0.034674911156986885	0.05944860325503878	0.06648098207475071	0.0	0.05039224259653286	0.06553782126798655	0.1735709764300595	0.030072254261791845	0.0267126057605919	0.04221658974895036	0.027357650566734212	0.0879628076014447	0.031865246256287866	0.03648131401761081	0.10559300834676894	0.06594574199322414	0.057608377225491315	0.0622325501190245	0.2161518010917397	0.02239386298647176	0.06837108228725358	0.03352085689940087	0.018835940950556337	0.02620085716256438	0.04871220212553342	0.05463178096037105	0.031154409424732153	0.01834472723878396	0.02936196850718639	0.1717975188487675	0.03780012762995493	0.04563131339776633	0.1353721813050325	0.03299380864943465	0.08555538542292443
DES-001	0.06112787695043028	0.11961999706517844	0.036569273832925894	0.0431610427491523	0.037262223370296034	0.03257146523723044	0.051174419730095885	0.05039224259653286	0.0	0.08251305311023349	0.16893354397157	0.03504148037639147	0.03844872782925258	0.05075588946041807	0.04684168473488	0.1046456214741452	0.04273974145295863	0.047629682392847136	0.11896304664291493	0.08604052261998918	0.08307622165858052	0.08982090348886922	0.20359789325190858	0.059938012131618604	0.09413576326870529	0.06945152713367886	0.049364814989380085	0.052615161760190696	0.08025558011948086	0.08617848228421841	0.0426173756696618	0.052536295581409556	0.06137826686238396	0.16372225803036253	0.07120843807253209	0.07483232642854933	0.14123454143840936	0.05283729677492688	0.1071523096226034
DES-005	0.04371266865495866	0.13369046525327602	0.08757381324634146	0.0710775717710784	0.07433828586206001	0.061023816583042775	0.05762119165111846	0.06553782126798655	0.08251305311023349	0.0	0.15906474182699581	0.06848671845400821	0.06584009623831	0.08124554169325286	0.07596525939591306	0.035147845011740945	0.07572958135047328	0.08240847074027734	0.06584916041243127	0.04012118113778231	0.028686840380890602	0.030596836365187896	0.1684482425673416	0.07591042984162423	0.026238427766684624	0.06674764827391479	0.07457337966766164	0.07614904257761454	0.03289879612234278	0.030916571355730664	0.07590871666086962	0.07483861876406625	0.07102361530786887	0.12600258166546144	0.0610367271063558	0.030371772513412346	0.09281265016916275	0.0839628993735317	0.042678592462132285
