	AUG-002	AUG-003	AUG-004	AUG-005	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-012	DES-013	DES-014	DES-018	WLT-001	WLT-003	WLT-004	WLT-007	WLT-009	WLT-011	WLT-013	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-022	WLT-023	WLT-025	WLT-026	WLT-027	WLT-028	WLT-029	WLT-030	WLT-031	WLT-033	WLT-035	WLT-037
AUG-002	0.0	0.2884784093338824	0.1314852134959564	0.08486837963708886	0.19732021280079584	0.13241501248663798	0.1901403896412409	0.21319852574312867	0.21255392052667035	0.1883473619708626	0.15388517420904244	0.25468677133941336	0.23866480978416776	0.3491583481151648	0.1514078206726021	0.23879919211443404	0.2295809715425272	0.18380385742798644	0.16350261178042838	0.14016128516438725	0.20167236912859376	0.20989169195173793	0.3522818773658387	0.18454107698444355	0.2451710429655799	0.3721430242992966	0.3012622181623998	0.18874516297246857	0.15017659647610676	0.348295018981185	0.27421838887834754	0.22494235263281004	0.28592149747423146	0.21902145889858995	0.21626696102483417	0.2882986422183437	0.26178998020209876	0.23302483018211625	0.24514063698358493	0.20137945688759987	0.22264282082761863	0.2713691548719025
AUG-003	0.2884784093338824	0.0	0.2337851541312598	0.28507143549505504	0.32516645946695055	0.3952337137812231	0.2093820124312788	0.2490948488146827	0.2769340868117852	0.2812286414210537	0.2225277002506671	0.2579925346474291	0.2499532155283493	0.470835320340952	0.41486409025357285	0.4655069043279287	0.32649615065926624	0.2805993754678467	0.28929347569251435	0.24314046495544994	0.18598294326359918	0.29939000530225535	0.4865763412194347	0.25176116528615305	0.35557145788892225	0.5088501343423268	0.41124404386966185	0.34376159873092604	0.3017869893384039	0.4778566708173262	0.4039563178723517	0.38879867381642397	0.18933666706672345	0.2506247631655725	0.2445274406319235	0.19772765453236055	0.2095748178974426	0.24113815782204973	0.27013066401840713	0.2583749117055491	0.3683403750428473	0.4338957629477451
AUG-004	0.1314852134959564	0.2337851541312598	0.0	0.07737683868250798	0.17982708733858202	0.21951307376409385	0.1807086885361345	0.16068422227581866	0.21358738523313456	0.20836384381447462	0.1564617694804216	0.19943827580338838	0.187656366984065	0.4025071586817968	0.23577454592117839	0.32446626730005507	0.22779777962458223	0.20616155342408146	0.20699229548448797	0.18181295528218674	0.138152254720118	0.2345411257980503	0.40443071212178644	0.22092976208765805	0.2926493996377599	0.43348011104437584	0.3518321848046368	0.2513459641855426	0.1958911899851092	0.4195629356970092	0.32927858254549325	0.2894329497307082	0.2176865472163646	0.2298530504765459	0.2223197393867924	0.2362755245406337	0.20301235259152367	0.24184952309856533	0.2552716731906403	0.2093161077366105	0.2695921345164829	0.3165040858253431
AUG-005	0.08486837963708886	0.28507143549505504	0.07737683868250798	0.0	0.1994495192965593	0.1712882382741103	0.17551741459339487	0.19538159543678796	0.19966539523013277	0.1865581904315718	0.14881083190954605	0.2376594479251078	0.22698789763026905	0.36867485307234754	0.18754683307589629	0.27949976328308335	0.2303273448975706	0.18566658897035662	0.18880479926914953	0.15805473789919308	0.1877588965440422	0.21174367583688103	0.3608442210306308	0.1966502222111515	0.2583941094332586	0.3955718748915748	0.3088302145506408	0.2124761650164716	0.1589828725982609	0.3844707129084375	0.29661076643361906	0.2557098153165692	0.2702255264086934	0.21782914542154674	0.21416829228831957	0.2798332573378523	0.23960687485450324	0.2237558781132058	0.23227387939427507	0.19007098281131268	0.23611225719860127	0.28398979647386846
AUG-006	0.19732021280079584	0.32516645946695055	0.17982708733858202	0.1994495192965593	0.0	0.1830081390872667	0.3155325857583403	0.1530653260290756	0.29803779108398004	0.2829468030159754	0.30838763140320946	0.22242786806595655	0.21186505515965592	0.4627898589698249	0.1918549066480779	0.3495403797151997	0.21786883171739635	0.25617573395134985	0.2905468397492199	0.27479409419534134	0.22724421175275175	0.3498360633993164	0.4219552213061566	0.32589860375326996	0.37980616516140775	0.4737951279428289	0.4129471784857958	0.34929798784717897	0.30783702469953333	0.45937359824767166	0.3999147391744938	0.35918099239694756	0.26811155773559714	0.3145820011247436	0.311450952152443	0.31358532347154994	0.29558798432467603	0.3379616879218426	0.34854386898740997	0.3021034050593333	0.3159019123938559	0.33517212793988366
AUG-007	0.13241501248663798	0.3952337137812231	0.21951307376409385	0.1712882382741103	0.1830081390872667	0.0	0.2798597538194184	0.24981882814294668	0.23429950214967823	0.24644025400885866	0.22568939507487973	0.30438965252473504	0.29325094143937336	0.29668110287530164	0.04132263826855006	0.18661459072918174	0.2361653576201816	0.218867030038995	0.19341738854496138	0.24213558138085123	0.29441244167260816	0.21869537144946088	0.2755644973625112	0.224837863537774	0.2257994296327187	0.31131988160851676	0.2646182027834045	0.1931577988703072	0.15732617079698635	0.2983959457781762	0.24679497505931736	0.20376333542628444	0.3540261659879259	0.28793295912642525	0.28920692568358597	0.3693965902297603	0.33957124459403865	0.2867814100407993	0.27962173916478394	0.2589165977960677	0.18363892951388464	0.18915804775702835
AUG-008	0.1901403896412409	0.2093820124312788	0.1807086885361345	0.17551741459339487	0.3155325857583403	0.2798597538194184	0.0	0.2699289931955752	0.16318941654328947	0.17970275087375762	0.08062911174406942	0.26133454593074507	0.2524300959215045	0.36259740443095334	0.29568388730121814	0.3592542512923764	0.25294360063501425	0.17896876694791938	0.18481449643672318	0.1495819811904837	0.16857254838724864	0.141276261571523	0.3396557197152191	0.1395573288010401	0.2336342584679104	0.3919636755498201	0.2960039735856325	0.2277722941310858	0.2108367552399351	0.36880768670053016	0.28616649067143435	0.27986818750342113	0.24453110319029692	0.1706595081483076	0.16669192314439518	0.23125862267069655	0.20700855851161934	0.15155566620215097	0.18869606965847854	0.16651910166942532	0.2403860086762753	0.3145171124099686
DES-001	0.21319852574312867	0.2490948488146827	0.16068422227581866	0.19538159543678796	0.1530653260290756	0.24981882814294668	0.2699289931955752	0.0	0.2610219974249722	0.23038502431545113	0.2685975237009162	0.18570567790503992	0.17383269874547938	0.45533774123255116	0.2701458345239559	0.3688389995437423	0.22324125035555545	0.24695129272648703	0.2572081162340993	0.24329852774541555	0.20727095238770524	0.31295465655087856	0.44076114794363513	0.291387308930606	0.35497534070948433	0.4855418178688332	0.3992055846240789	0.32205654659466515	0.2717640174341249	0.4620551357484896	0.3814148161820005	0.33836615928640174	0.22141347930913718	0.28320853314897176	0.26930006762058795	0.2774688196237861	0.251201778616334	0.2996095578428498	0.3187613301153722	0.259704400538168	0.3032595291888558	0.3323741039912349
DES-005	0.21255392052667035	0.2769340868117852	0.21358738523313456	0.19966539523013277	0.29803779108398004	0.23429950214967823	0.16318941654328947	0.2610219974249722	0.0	0.11148052353554103	0.17144947503765282	0.1977651870011856	0.18296351473731778	0.3458317152923063	0.23975083522267462	0.3135872367074041	0.2205445766950998	0.1094279218031387	0.1436505596413213	0.17391330860459533	0.17784558699699066	0.16353334845998416	0.30239050594913286	0.1527733523902433	0.2278164487133965	0.36145001652276165	0.21594858184202242	0.21990830289272145	0.17968086645020423	0.3401350876361403	0.264990937769494	0.2395621303775327	0.1921943588060539	0.10493890208985883	0.11065259636136601	0.19724643514449786	0.15949381422180897	0.10170887944594796	0.09043875982258932	0.07822986138195119	0.17888094988281228	0.25268585893647244
DES-006	0.1883473619708626	0.2812286414210537	0.20836384381447462	0.1865581904315718	0.2829468030159754	0.24644025400885866	0.17970275087375762	0.23038502431545113	0.11148052353554103	0.0	0.18200373127625977	0.16411427315337423	0.149005944330423	0.3728570330775232	0.24737461576647138	0.3213013099501511	0.20772228692773964	0.1331604423000222	0.17060542896672778	0.16152873111434576	0.189854852150096	0.2121291045191657	0.34346248969319837	0.18085831810803576	0.25586719991657975	0.38508393237726657	0.2498259622612405	0.23728858392597177	0.19267408979111816	0.36009407932133874	0.28599482784743324	0.2542168505364391	0.20840863664605846	0.12741681272729963	0.1241879829242544	0.2118696773941807	0.18129587113093526	0.13811976279763677	0.14698196886028303	0.09191760220428703	0.1823130801039156	0.26483359228303877
DES-007	0.15388517420904244	0.2225277002506671	0.1564617694804216	0.14881083190954605	0.30838763140320946	0.22568939507487973	0.08062911174406942	0.2685975237009162	0.17144947503765282	0.18200373127625977	0.0	0.2671022954492731	0.25573909778560266	0.32022523510340495	0.24198385936545988	0.30496521563775064	0.23171652876596063	0.17323411350655862	0.13522616247249053	0.12704004193312388	0.16057949400910368	0.14123578144049337	0.31790783173167503	0.12209682507597108	0.19823336537108094	0.3509723730056697	0.264623757007722	0.17729782070630912	0.16563076695212442	0.3314480174778125	0.2452981809768383	0.23064360129413977	0.24713763142384929	0.17944524287353622	0.17753866226578302	0.23774810356957618	0.21595507318492746	0.15471692490182407	0.18396307280891847	0.1688368215419762	0.20530376281178453	0.2669607589319801
DES-008	0.25468677133941336	0.2579925346474291	0.19943827580338838	0.2376594479251078	0.22242786806595655	0.30438965252473504	0.26133454593074507	0.18570567790503992	0.1977651870011856	0.16411427315337423	0.2671022954492731	0.0	0.051045599038812735	0.4465991351119235	0.3099515952673937	0.4043907029793322	0.1789384805095851	0.15795768635839585	0.2474003325397371	0.24114980739132602	0.1630348881556477	0.29776615211109275	0.38402135660670833	0.27314491123913937	0.3312644639738589	0.46592058072123915	0.3247907503677103	0.3217962958113668	0.2781452768991311	0.4396006691672174	0.3656652905941138	0.34151484841427626	0.1832066522007954	0.19969350901979976	0.1885384675964221	0.1933178059380501	0.18196996734181123	0.22144198519228336	0.22884614232756637	0.19623413517176688	0.27089198235308704	0.30653220550567833
DES-009	0.23866480978416776	0.2499532155283493	0.187656366984065	0.22698789763026905	0.21186505515965592	0.29325094143937336	0.2524300959215045	0.17383269874547938	0.18296351473731778	0.149005944330423	0.25573909778560266	0.051045599038812735	0.0	0.4450700847885226	0.29988582252386076	0.396018568761468	0.17866097051496174	0.15501708597989794	0.24538278237025518	0.2274089992369982	0.15242809032173496	0.29109183816261736	0.3822131494333536	0.2696487413981104	0.3314713643616617	0.4592606245976877	0.3322300127249046	0.3200088877251382	0.27065233190874044	0.43160252439323066	0.3591720133202171	0.33280918125197667	0.17186480493853779	0.18602946555565206	0.17663318708565554	0.1830256768030239	0.16496077499769402	0.20648086947328884	0.2220798874101373	0.17485288429676957	0.26310869988463104	0.29989373784574724
DES-010	0.3491583481151648	0.470835320340952	0.4025071586817968	0.36867485307234754	0.4627898589698249	0.29668110287530164	0.36259740443095334	0.45533774123255116	0.3458317152923063	0.3728570330775232	0.32022523510340495	0.4465991351119235	0.4450700847885226	0.0	0.3067852969589053	0.18342272024294934	0.3794647640995606	0.33346901188494554	0.3090499535305208	0.3587305746067443	0.4135072568886528	0.26561782426665	0.1521435613419175	0.29016417912943104	0.17128894254086183	0.06034256584005457	0.18665444371557016	0.19504312469141666	0.2590295345878756	0.04410654406221736	0.12892450858617485	0.16505546299559548	0.4763356471391784	0.39265016594060215	0.39495167421445987	0.46615104270751695	0.44882355485553493	0.38213905623894273	0.37033594001118975	0.3712099876192587	0.2625490878261762	0.21173771054153964
DES-012	0.1514078206726021	0.41486409025357285	0.23577454592117839	0.18754683307589629	0.1918549066480779	0.04132263826855006	0.29568388730121814	0.2701458345239559	0.23975083522267462	0.24737461576647138	0.24198385936545988	0.3099515952673937	0.29988582252386076	0.3067852969589053	0.0	0.18191237427416168	0.24648509380655384	0.24063786765232165	0.21089170553882014	0.2578533722431785	0.3166586741867739	0.21497616340940212	0.26299978482492004	0.22369973482123037	0.22897210231747347	0.3066385327307208	0.25077103006769097	0.19686086244676484	0.15801876644270033	0.3042098075991474	0.24724303797942468	0.20362578560460373	0.36547462890956695	0.2977030185553978	0.30156070769161736	0.377169517501523	0.34435890571528177	0.2925276788661868	0.28279276463109443	0.263436253922826	0.16764964914534886	0.18614482775238061
DES-013	0.23879919211443404	0.4655069043279287	0.32446626730005507	0.27949976328308335	0.3495403797151997	0.18661459072918174	0.3592542512923764	0.3688389995437423	0.3135872367074041	0.3213013099501511	0.30496521563775064	0.4043907029793322	0.396018568761468	0.18342272024294934	0.18191237427416168	0.0	0.34151214187131057	0.310255999930117	0.2720825403951515	0.31161384698576433	0.3783706869504591	0.26445447832719565	0.1860054198944178	0.2875585334544133	0.18077900365640953	0.1759249070656044	0.19623215123020657	0.15997237095916758	0.20536195286396514	0.16849946947772845	0.13147389109416632	0.1205524797921756	0.4387664002567408	0.3620468374175113	0.3642114404396013	0.439835755562335	0.4077802713952957	0.3571912837141145	0.3488211810158722	0.3272303530697501	0.22451230824532953	0.1485196588243457
DES-014	0.2295809715425272	0.32649615065926624	0.22779777962458223	0.2303273448975706	0.21786883171739635	0.2361653576201816	0.25294360063501425	0.22324125035555545	0.2205445766950998	0.20772228692773964	0.23171652876596063	0.1789384805095851	0.17866097051496174	0.3794647640995606	0.24648509380655384	0.34151214187131057	0.0	0.1936833201584125	0.22509712765052053	0.22676549301806112	0.20856000510598974	0.24698847668597335	0.32924410231074386	0.24342495703996042	0.2970033655817356	0.3922460123623315	0.3084009397524759	0.2888927993698184	0.24849356951704613	0.3667161019602115	0.31068547646885736	0.28923804444313145	0.26939836907151965	0.24326819064052377	0.23205454354779234	0.280701196715757	0.26433736156960974	0.2655909021603353	0.2784159892959826	0.2399173834554642	0.17802652724510867	0.2601571548518454
DES-018	0.18380385742798644	0.2805993754678467	0.20616155342408146	0.18566658897035662	0.25617573395134985	0.218867030038995	0.17896876694791938	0.24695129272648703	0.1094279218031387	0.1331604423000222	0.17323411350655862	0.15795768635839585	0.15501708597989794	0.33346901188494554	0.24063786765232165	0.310255999930117	0.1936833201584125	0.0	0.13527702365410135	0.16829515329938666	0.1440904325488817	0.18572604632048867	0.28940739381262365	0.15295448865422617	0.20895448238191947	0.3639427310057223	0.23444650312316417	0.20515680478827142	0.17448009214088914	0.3352838006514515	0.2595114090155819	0.23323192277171093	0.23905339590831318	0.16287591745671348	0.16615314056672703	0.25333773059008236	0.22935583640017487	0.1679836981645934	0.16110463616935408	0.1532508261249686	0.18790761979864729	0.22426532838553853
WLT-001	0.16350261178042838	0.28929347569251435	0.20699229548448797	0.18880479926914953	0.2905468397492199	0.19341738854496138	0.18481449643672318	0.2572081162340993	0.1436505596413213	0.17060542896672778	0.13522616247249053	0.2474003325397371	0.24538278237025518	0.3090499535305208	0.21089170553882014	0.2720825403951515	0.22509712765052053	0.13527702365410135	0.0	0.08924816553374253	0.1665420970831016	0.14990196467454225	0.2927313853398054	0.09491135229620123	0.16653087915294523	0.33406446416742047	0.2341749058738224	0.1517097873153389	0.13397540170330124	0.3152661282989973	0.22822826187111206	0.19973299429659458	0.2644327368953237	0.2045768307888777	0.1958700245142923	0.27417113402109594	0.2531583440702146	0.1940408097736704	0.18327048534706275	0.17104323442999914	0.1730006624656547	0.21615876431275033
WLT-003	0.14016128516438725	0.24314046495544994	0.18181295528218674	0.15805473789919308	0.27479409419534134	0.24213558138085123	0.1495819811904837	0.24329852774541555	0.17391330860459533	0.16152873111434576	0.12704004193312388	0.24114980739132602	0.2274089992369982	0.3587305746067443	0.2578533722431785	0.31161384698576433	0.22676549301806112	0.16829515329938666	0.08924816553374253	0.0	0.1353583764350931	0.2005488715174101	0.35110930920774064	0.13334906773372843	0.22517130206933675	0.3743292760665475	0.2911681365333666	0.1991635584963045	0.18376548910486357	0.3562751910290841	0.2791943397473986	0.23987748126775638	0.23340472789841227	0.16331895406749883	0.15516284677345568	0.22305766365321555	0.2099050363620578	0.17697101142044966	0.1864135287835571	0.1542988765312545	0.22200508828239704	0.27188284552310943
WLT-004	0.20167236912859376	0.18598294326359918	0.138152254720118	0.1877588965440422	0.22724421175275175	0.29441244167260816	0.16857254838724864	0.20727095238770524	0.17784558699699066	0.189854852150096	0.16057949400910368	0.1630348881556477	0.15242809032173496	0.4135072568886528	0.3166586741867739	0.3783706869504591	0.20856000510598974	0.1440904325488817	0.1665420970831016	0.1353583764350931	0.0	0.23622329048336904	0.3715154036816692	0.19789223528516706	0.27336578882234014	0.4441861955689599	0.32196543354919877	0.2626207409456206	0.23520064885386152	0.4151947218392173	0.3252568131758149	0.30464155098261014	0.16738654863442431	0.18724104411796272	0.1778519495565387	0.1803823206383257	0.15419052305473752	0.18315907604877008	0.2115229846965415	0.1863896778505096	0.2699420610624514	0.2879648877741597
WLT-007	0.20989169195173793	0.29939000530225535	0.2345411257980503	0.21174367583688103	0.3498360633993164	0.21869537144946088	0.141276261571523	0.31295465655087856	0.16353334845998416	0.2121291045191657	0.14123578144049337	0.29776615211109275	0.29109183816261736	0.26561782426665	0.21497616340940212	0.26445447832719565	0.24698847668597335	0.18572604632048867	0.14990196467454225	0.2005488715174101	0.23622329048336904	0.0	0.22939090212486962	0.10481344721820228	0.12831125196739074	0.29429280081082465	0.18271274931606413	0.13582912041403342	0.1371728891290849	0.2737021041225193	0.1905103972165908	0.18171135176458758	0.3203804689434097	0.23989783198139486	0.23879804247056133	0.3189339378288947	0.28352020181409665	0.2232040846835976	0.21651474642570848	0.20101941128462475	0.12966537874013925	0.20945373932598108
WLT-009	0.3522818773658387	0.4865763412194347	0.40443071212178644	0.3608442210306308	0.4219552213061566	0.2755644973625112	0.3396557197152191	0.44076114794363513	0.30239050594913286	0.34346248969319837	0.31790783173167503	0.38402135660670833	0.3822131494333536	0.1521435613419175	0.26299978482492004	0.1860054198944178	0.32924410231074386	0.28940739381262365	0.2927313853398054	0.35110930920774064	0.3715154036816692	0.22939090212486962	0.0	0.28336704439462174	0.164656154026226	0.15968163459520263	0.1449646355894663	0.19550642708125865	0.26650953390477183	0.1462758262835233	0.13179809470413228	0.17760528550131918	0.45605460548483523	0.37949142780523515	0.38286812304457046	0.45489441501839434	0.42083238811905593	0.3527982620391537	0.3511055818008272	0.34194869319534144	0.22865284154225515	0.13596232862267468
WLT-011	0.18454107698444355	0.25176116528615305	0.22092976208765805	0.1966502222111515	0.32589860375326996	0.224837863537774	0.1395573288010401	0.291387308930606	0.1527733523902433	0.18085831810803576	0.12209682507597108	0.27314491123913937	0.2696487413981104	0.29016417912943104	0.22369973482123037	0.2875585334544133	0.24342495703996042	0.15295448865422617	0.09491135229620123	0.13334906773372843	0.19789223528516706	0.10481344721820228	0.28336704439462174	0.0	0.1336997960975104	0.31795714821346505	0.21724489379430828	0.1411763083875057	0.12345302010588874	0.2930685632928318	0.21406605932154166	0.19588105644745282	0.27652275839043006	0.2031246034762302	0.19635143408926747	0.2741849933999162	0.2542103585135025	0.18128565429827	0.1733425329986351	0.17727466802433783	0.16540687584253974	0.24506710189228317
WLT-013	0.2451710429655799	0.35557145788892225	0.2926493996377599	0.2583941094332586	0.37980616516140775	0.2257994296327187	0.2336342584679104	0.35497534070948433	0.2278164487133965	0.25586719991657975	0.19823336537108094	0.3312644639738589	0.3314713643616617	0.17128894254086183	0.22897210231747347	0.18077900365640953	0.2970033655817356	0.20895448238191947	0.16653087915294523	0.22517130206933675	0.27336578882234014	0.12831125196739074	0.164656154026226	0.1336997960975104	0.0	0.20507914314196848	0.12477441288741062	0.07439296240436598	0.15606830773968283	0.18005879323306306	0.10554170360464804	0.09368595656323225	0.35505383638610233	0.28894949248932156	0.28748265064397227	0.3601843790912882	0.3384343989644771	0.2657856390767849	0.25682908589548137	0.26073954152518075	0.17709606571291886	0.131726841771524
WLT-014	0.3721430242992966	0.5088501343423268	0.43348011104437584	0.3955718748915748	0.4737951279428289	0.31131988160851676	0.3919636755498201	0.4855418178688332	0.36145001652276165	0.38508393237726657	0.3509723730056697	0.46592058072123915	0.4592606245976877	0.06034256584005457	0.3066385327307208	0.1759249070656044	0.3922460123623315	0.3639427310057223	0.33406446416742047	0.3743292760665475	0.4441861955689599	0.29429280081082465	0.15968163459520263	0.31795714821346505	0.20507914314196848	0.0	0.20254416585422258	0.21731161906996674	0.29216196311485276	0.05430988897282165	0.1469313239143347	0.1813483050431341	0.4989069807758356	0.4066509241170508	0.40790411046529534	0.48322471872720296	0.465624250500199	0.39931591129022254	0.3867109631433526	0.38315582417642713	0.26792298524422914	0.21952556030203071
WLT-015	0.3012622181623998	0.41124404386966185	0.3518321848046368	0.3088302145506408	0.4129471784857958	0.2646182027834045	0.2960039735856325	0.3992055846240789	0.21594858184202242	0.2498259622612405	0.264623757007722	0.3247907503677103	0.3322300127249046	0.18665444371557016	0.25077103006769097	0.19623215123020657	0.3084009397524759	0.23444650312316417	0.2341749058738224	0.2911681365333666	0.32196543354919877	0.18271274931606413	0.1449646355894663	0.21724489379430828	0.12477441288741062	0.20254416585422258	0.0	0.15236767584668434	0.20789058882962344	0.18225553668983527	0.11812742710853529	0.15082293351579	0.3678995715673709	0.25933660607807046	0.2739708161859287	0.34713428921807266	0.3300580777038156	0.25905710465509807	0.2378558639201791	0.256129166113463	0.17780632876362135	0.18050920620970506
WLT-016	0.18874516297246857	0.34376159873092604	0.2513459641855426	0.2124761650164716	0.34929798784717897	0.1931577988703072	0.2277722941310858	0.32205654659466515	0.21990830289272145	0.23728858392597177	0.17729782070630912	0.3217962958113668	0.3200088877251382	0.19504312469141666	0.19686086244676484	0.15997237095916758	0.2888927993698184	0.20515680478827142	0.1517097873153389	0.1991635584963045	0.2626207409456206	0.13582912041403342	0.19550642708125865	0.1411763083875057	0.07439296240436598	0.21731161906996674	0.15236767584668434	0.0	0.11644281558447123	0.20332953426745587	0.12262600532445898	0.08104240971058625	0.3430960888062688	0.2704190720703257	0.26982300103892054	0.346447735251614	0.31887713728841827	0.25735990414371446	0.24685516421376785	0.23722624378109758	0.15622918758649906	0.1384501796470972
WLT-018	0.15017659647610676	0.3017869893384039	0.1958911899851092	0.1589828725982609	0.30783702469953333	0.15732617079698635	0.2108367552399351	0.2717640174341249	0.17968086645020423	0.19267408979111816	0.16563076695212442	0.2781452768991311	0.27065233190874044	0.2590295345878756	0.15801876644270033	0.20536195286396514	0.24849356951704613	0.17448009214088914	0.13397540170330124	0.18376548910486357	0.23520064885386152	0.1371728891290849	0.26650953390477183	0.12345302010588874	0.15606830773968283	0.29216196311485276	0.20789058882962344	0.11644281558447123	0.0	0.26511646283939383	0.19096039530991654	0.15563256170743947	0.30322096641845464	0.23423849542412642	0.23267199863160404	0.3109655102885097	0.2806465171426144	0.22839971825969935	0.21871871045311442	0.19805284019073838	0.15160785357276413	0.19082464052770728
WLT-020	0.348295018981185	0.4778566708173262	0.4195629356970092	0.3844707129084375	0.45937359824767166	0.2983959457781762	0.36880768670053016	0.4620551357484896	0.3401350876361403	0.36009407932133874	0.3314480174778125	0.4396006691672174	0.43160252439323066	0.04410654406221736	0.3042098075991474	0.16849946947772845	0.3667161019602115	0.3352838006514515	0.3152661282989973	0.3562751910290841	0.4151947218392173	0.2737021041225193	0.1462758262835233	0.2930685632928318	0.18005879323306306	0.05430988897282165	0.18225553668983527	0.20332953426745587	0.26511646283939383	0.0	0.1152718272131098	0.1621511342731854	0.47279219283816987	0.3865994555936561	0.38562194064652294	0.45817097688731323	0.4461958517044041	0.3760531463876512	0.3693617407984029	0.3646302925086532	0.2541905881739868	0.21085323581835452
WLT-022	0.27421838887834754	0.4039563178723517	0.32927858254549325	0.29661076643361906	0.3999147391744938	0.24679497505931736	0.28616649067143435	0.3814148161820005	0.264990937769494	0.28599482784743324	0.2452981809768383	0.3656652905941138	0.3591720133202171	0.12892450858617485	0.24724303797942468	0.13147389109416632	0.31068547646885736	0.2595114090155819	0.22822826187111206	0.2791943397473986	0.3252568131758149	0.1905103972165908	0.13179809470413228	0.21406605932154166	0.10554170360464804	0.1469313239143347	0.11812742710853529	0.12262600532445898	0.19096039530991654	0.1152718272131098	0.0	0.09141829750407612	0.39796939579185975	0.32144579048915806	0.31536516226140165	0.38846371099097377	0.3742588453638138	0.30370020065496045	0.2942711146527488	0.29480659552305877	0.18894523247886963	0.1535406591952915
