,S17_WIL-COR,S17_MFW-JAS,S17_MFW-OAK,S17_DES-WIK,S17_DES-BEN,S17_DES-MAD,S17_DES-BIG,S17_WIL-POR,S17_MET-SIS,S17_TRO-GAT,S17_TUM-BEN,S17_DES-BFA,S17_FAL-LAP,S17_CUL-LAP,S17_DES-LAP,S17_BRO-LAP,S17_ODE-LAP,S17_CRE-CRE,S17_CRO-TER,S17_CRO-PRI,S17_WHY-CPR,S17_TUA-DIL,S17_GAL-FOR,S17_TUA-COR,S17_TUA-HIL,S17_TUA-FAR,S17_TRY-LAK,S17_TUA-WES,S17_MOL-CAN,S17_PUD-WOO,S17_LNS-MEH,S17_NSA-MEH,S17_NSA-JEF,S17_WIL-ALB,S17_MAR-PHI,S17_SSA-WAT,S17_FAL-FAL,S17_MCK-SPR,S17_MOH-SPR,S17_MCK-COB,S17_WIL-HAR,S17_MOS-COT,S17_W01-HJA,S17_W02-HJA,S17_W03-HJA,S17_W06-HJA,S17_W07-HJA,S17_W08-HJA,S17_W09-HJA,S17_W10-HJA,S17_MAC-HJA,S17_LOO-HJA,S17_NSA-DET,S17_SSA-CAS,S17_LTR-NOT
S17_WIL-COR,0,0.457604426,0.55917909,0.502414859,0.306012605,0.557396513,0.212909472,0.502671338,0.531166515,0.480657709,0.464542547,0.394615903,0.439732179,0.488634807,0.502717655,0.555642382,0.45010863,0.524470857,0.196830136,0.409562581,0.534911669,0.498022039,0.166593191,0.319240658,0.203927689,0.222526508,0.260191874,0.381725776,0.20376465,0.360952694,0.261376747,0.239980087,0.163612589,0.169584318,0.228879563,0.466112006,0.452296636,0.35373168,0.193693049,0.281136938,0.122477411,0.224878024,0.543200808,0.511095506,0.537994023,0.51487887,0.526548878,0.57702176,0.524644769,0.543641334,0.570901798,0.567577277,0.438619634,0.392764442,0.234656808
S17_MFW-JAS,0.457604426,0,0.2505349,0.213751079,0.282802991,0.325658323,0.440224409,0.259007512,0.358884169,0.349804191,0.395112378,0.303765983,0.417856629,0.403094257,0.347271725,0.443785987,0.275330165,0.381655131,0.489382368,0.283882291,0.550958474,0.234661837,0.510425035,0.300096373,0.399325002,0.428983826,0.492549612,0.326439181,0.568265874,0.33564736,0.593112138,0.347216262,0.464391534,0.492970112,0.390366485,0.237320261,0.250923846,0.348186749,0.532645143,0.372897489,0.441794555,0.609773465,0.440672028,0.351207378,0.382968654,0.412054386,0.415383883,0.438312386,0.417674562,0.443895079,0.397709775,0.418998648,0.417572247,0.46080831,0.381766282
S17_MFW-OAK,0.55917909,0.2505349,0,0.266635796,0.378302576,0.411175581,0.557801715,0.272906345,0.415055741,0.411237525,0.449890738,0.376134828,0.477385523,0.452951686,0.375898067,0.486483442,0.354581345,0.427472547,0.550485877,0.336956728,0.611702967,0.260612208,0.572689081,0.362975813,0.461707379,0.496901145,0.547362854,0.357581277,0.629519895,0.368872234,0.660301899,0.437168549,0.560571735,0.583042349,0.447670489,0.274596739,0.278677924,0.442561283,0.597799518,0.471962042,0.539066403,0.657361426,0.467953818,0.42667151,0.407454771,0.445780348,0.439803442,0.454660924,0.447500189,0.474374852,0.419709894,0.43542172,0.496032814,0.525694552,0.446424681
S17_DES-WIK,0.502414859,0.213751079,0.266635796,0,0.264256332,0.306917154,0.471340146,0.210890683,0.352915509,0.344349337,0.386575765,0.263715396,0.426868052,0.411114608,0.344177002,0.445278217,0.274168649,0.332082304,0.50550663,0.295807897,0.551600673,0.213858239,0.526864382,0.306722158,0.409621684,0.435018637,0.488326271,0.301031411,0.58606321,0.336446158,0.601826057,0.378720852,0.493278867,0.512313178,0.404959283,0.23697026,0.228489588,0.368450962,0.561078137,0.383629004,0.470778294,0.628965952,0.433196274,0.332533998,0.354821728,0.400005882,0.396625619,0.40086403,0.400287584,0.446115446,0.373648048,0.412422241,0.416923677,0.476566951,0.400882601
S17_DES-BEN,0.306012605,0.282802991,0.378302576,0.264256332,0,0.375529238,0.312407051,0.319830022,0.386223838,0.366989017,0.335876876,0.228274185,0.326887533,0.379224064,0.352793902,0.448780198,0.280463864,0.389965525,0.321400112,0.2803178,0.453557342,0.327806687,0.346344888,0.189571442,0.224182541,0.236703422,0.352144729,0.209796814,0.394662186,0.240741205,0.448678011,0.233425729,0.319754432,0.322331198,0.216412918,0.293708469,0.266839254,0.306850965,0.372473612,0.239490445,0.282737133,0.450382889,0.45399309,0.395361538,0.417141332,0.410542124,0.41293457,0.469439428,0.438129365,0.461487402,0.440828787,0.452570543,0.338843724,0.397846916,0.235350355
S17_DES-MAD,0.557396513,0.325658323,0.411175581,0.306917154,0.375529238,0,0.508852544,0.369942366,0.358622238,0.441121099,0.481741777,0.383074669,0.444618766,0.421311246,0.331472446,0.43525153,0.343600574,0.449245755,0.56439611,0.413622694,0.627169578,0.38607465,0.577995443,0.409281809,0.485061517,0.50356685,0.543937306,0.453828252,0.641670229,0.487262326,0.636893831,0.432423354,0.549806421,0.557973259,0.507038674,0.346991959,0.374958804,0.452947333,0.620061995,0.450657014,0.521896186,0.674598951,0.509142182,0.434424175,0.467491479,0.508531338,0.516270907,0.524427371,0.480622535,0.517279105,0.466294802,0.401175522,0.487579096,0.533154428,0.492485499
S17_DES-BIG,0.212909472,0.440224409,0.557801715,0.471340146,0.312407051,0.508852544,0,0.472415134,0.467238428,0.430303098,0.439701151,0.403784269,0.397366505,0.444001957,0.489399816,0.507155105,0.417858297,0.506089189,0.261087029,0.413605892,0.523832838,0.509126752,0.316365036,0.364667407,0.3300206,0.34280163,0.315180653,0.399936462,0.314740071,0.436845773,0.23437693,0.253616936,0.140174341,0.277141189,0.330098604,0.4697693,0.471473531,0.387184151,0.332722497,0.305161933,0.229311247,0.262435502,0.526072771,0.475016807,0.510213636,0.488352786,0.501688875,0.546268082,0.508130418,0.52559816,0.532156406,0.532385794,0.39632209,0.372037541,0.31098683
S17_WIL-POR,0.502671338,0.259007512,0.272906345,0.210890683,0.319830022,0.369942366,0.472415134,0,0.371361907,0.355392123,0.404835188,0.302185277,0.42186746,0.398616757,0.318219012,0.474158554,0.297331538,0.346702423,0.482221961,0.330008504,0.571539684,0.25548871,0.522981912,0.330595919,0.40319823,0.426472267,0.488505609,0.231549396,0.580329041,0.301340239,0.584574998,0.393812341,0.498844269,0.500556809,0.390439125,0.249122556,0.24139282,0.381863561,0.549754307,0.395571725,0.47688863,0.611247078,0.433411543,0.358717733,0.363443573,0.41474785,0.421165424,0.410363948,0.386442094,0.456594255,0.404523752,0.424940146,0.426146476,0.47093037,0.372546741
S17_MET-SIS,0.531166515,0.358884169,0.415055741,0.352915509,0.386223838,0.358622238,0.467238428,0.371361907,0,0.301855039,0.300140965,0.343098755,0.267784666,0.230682812,0.351941393,0.263575053,0.285386157,0.395562682,0.494681374,0.358768419,0.463451307,0.421611289,0.534717005,0.385477144,0.464515407,0.472195648,0.469085116,0.440112014,0.595722436,0.468618351,0.574442423,0.397772936,0.506460206,0.548486889,0.467183949,0.323821793,0.355732562,0.336836342,0.54317615,0.348188376,0.483626643,0.606776557,0.406552653,0.376702072,0.389009642,0.37885648,0.381374939,0.424743081,0.386526357,0.414259364,0.338016988,0.249157546,0.287121458,0.408229382,0.443386603
S17_TRO-GAT,0.480657709,0.349804191,0.411237525,0.344349337,0.366989017,0.441121099,0.430303098,0.355392123,0.301855039,0,0.294347793,0.308800395,0.323552669,0.284709019,0.409363675,0.341404709,0.324112033,0.355447087,0.426282194,0.326421363,0.46791078,0.384518718,0.482627192,0.347928984,0.411143156,0.408193479,0.398233669,0.385139009,0.549107118,0.397258332,0.540019107,0.409859325,0.459102809,0.498368176,0.429387796,0.315121605,0.355816889,0.294442303,0.498765804,0.346205163,0.442044004,0.569461412,0.303359756,0.26971613,0.28915833,0.260135611,0.259542772,0.299573474,0.299374254,0.327594732,0.300321663,0.341160738,0.340473662,0.361069241,0.387218617
S17_TUM-BEN,0.464542547,0.395112378,0.449890738,0.386575765,0.335876876,0.481741777,0.439701151,0.404835188,0.300140965,0.294347793,0,0.294988545,0.212908013,0.245138722,0.42403211,0.338546029,0.305306645,0.420203641,0.409067204,0.350525588,0.364336296,0.427269666,0.4671415,0.311214503,0.375598576,0.374963012,0.379419491,0.377207835,0.517001343,0.365880648,0.501190327,0.357962014,0.43352164,0.496031061,0.412064171,0.365760792,0.347114272,0.294166282,0.473208807,0.292399315,0.418550914,0.553846724,0.333603317,0.323405419,0.326931806,0.271088979,0.283443952,0.352916886,0.299427907,0.347555473,0.31242631,0.291894273,0.22114448,0.382256533,0.371626201
S17_DES-BFA,0.394615903,0.303765983,0.376134828,0.263715396,0.228274185,0.383074669,0.403784269,0.302185277,0.343098755,0.308800395,0.294988545,0,0.335755332,0.323089916,0.358971276,0.428097763,0.279552613,0.327135067,0.378497506,0.312446732,0.454111857,0.322543664,0.413898848,0.233492516,0.299978794,0.30205875,0.347798159,0.276813958,0.467574006,0.256654046,0.50992201,0.309010259,0.377024003,0.419993995,0.316450653,0.284244385,0.249168272,0.261354104,0.444432369,0.29856997,0.36568363,0.523862549,0.362172922,0.334791256,0.341422787,0.346023466,0.349220792,0.406179111,0.356846534,0.372337325,0.386984072,0.409733396,0.342049353,0.397205465,0.326898564
S17_FAL-LAP,0.439732179,0.417856629,0.477385523,0.426868052,0.326887533,0.444618766,0.397366505,0.42186746,0.267784666,0.323552669,0.212908013,0.335755332,0,0.16207052,0.428253739,0.287894277,0.319394803,0.452218461,0.383240452,0.349825272,0.370421812,0.463344885,0.43406578,0.304913301,0.355267096,0.360985485,0.360161261,0.390502485,0.496166214,0.390666872,0.457940766,0.342958509,0.404240179,0.46654036,0.389267206,0.371766786,0.394154372,0.29679378,0.44081202,0.267333348,0.391118536,0.523986342,0.375003206,0.381588066,0.382406066,0.350255412,0.368276442,0.418523511,0.333792448,0.378056515,0.355508391,0.29915955,0.2327595,0.359426735,0.337889355
S17_CUL-LAP,0.488634807,0.403094257,0.452951686,0.411114608,0.379224064,0.421311246,0.444001957,0.398616757,0.230682812,0.284709019,0.245138722,0.323089916,0.16207052,0,0.390696771,0.244483207,0.30222942,0.412166789,0.422059981,0.333460591,0.403995502,0.451751888,0.47560624,0.342021188,0.399286985,0.402063757,0.386481396,0.419526279,0.538139899,0.412217028,0.49998285,0.382787513,0.451703986,0.517423938,0.425753578,0.347248267,0.37698288,0.291173448,0.478980777,0.331422443,0.438771377,0.557537679,0.329880578,0.359947263,0.353833369,0.319421548,0.337418505,0.393434103,0.304421323,0.337969583,0.317620415,0.254972755,0.279244365,0.353219643,0.376125918
S17_DES-LAP,0.502717655,0.347271725,0.375898067,0.344177002,0.352793902,0.331472446,0.489399816,0.318219012,0.351941393,0.409363675,0.42403211,0.358971276,0.428253739,0.390696771,0,0.43477611,0.287515758,0.399244462,0.524453945,0.391659347,0.569936114,0.376725394,0.537111861,0.386489851,0.437659504,0.445814619,0.517806841,0.334014048,0.588892618,0.361669593,0.627566091,0.391314262,0.506083376,0.493167231,0.420402787,0.281520514,0.286326218,0.370534259,0.569731718,0.40346232,0.474650781,0.622263482,0.523658189,0.44663872,0.475324982,0.475451445,0.480492101,0.515926507,0.471120779,0.502808129,0.451125664,0.359481684,0.421194631,0.508733158,0.43408966
S17_BRO-LAP,0.555642382,0.443785987,0.486483442,0.445278217,0.448780198,0.43525153,0.507155105,0.474158554,0.263575053,0.341404709,0.338546029,0.428097763,0.287894277,0.244483207,0.43477611,0,0.400655975,0.445602394,0.516507937,0.390723647,0.4562465,0.50339095,0.560672237,0.43369995,0.495975734,0.486914732,0.467028114,0.524377599,0.614480607,0.514295069,0.572952727,0.444284183,0.532603521,0.576495191,0.513110465,0.365599169,0.44756438,0.375648289,0.547225067,0.40239658,0.514538253,0.617890211,0.425693649,0.411136508,0.446867096,0.406459285,0.41371515,0.465644192,0.414111635,0.410957034,0.398523024,0.303907204,0.362496383,0.295904838,0.469360674
S17_ODE-LAP,0.45010863,0.275330165,0.354581345,0.274168649,0.280463864,0.343600574,0.417858297,0.297331538,0.285386157,0.324112033,0.305306645,0.279552613,0.319394803,0.30222942,0.287515758,0.400655975,0,0.351416643,0.469194519,0.321279516,0.494286247,0.323611267,0.491092564,0.311054293,0.381369482,0.413058823,0.469219394,0.290013508,0.552725928,0.327753462,0.576375126,0.319045938,0.456958199,0.472851652,0.35914,0.259421992,0.250124595,0.327288837,0.522796688,0.32959045,0.418876626,0.589756593,0.441463374,0.356546371,0.380090098,0.378343817,0.375698786,0.425031298,0.396336754,0.431414222,0.352087137,0.332115956,0.320235848,0.442179642,0.377203956
S17_CRE-CRE,0.524470857,0.381655131,0.427472547,0.332082304,0.389965525,0.449245755,0.506089189,0.346702423,0.395562682,0.355447087,0.420203641,0.327135067,0.452218461,0.412166789,0.399244462,0.445602394,0.351416643,0,0.51829073,0.428431649,0.560459712,0.379009506,0.552106961,0.405076817,0.462557025,0.467597545,0.50779408,0.375568386,0.618176057,0.411213893,0.621738193,0.427869603,0.525346952,0.547762509,0.456979355,0.283667588,0.333411451,0.319719076,0.556500915,0.41546605,0.501239575,0.636922283,0.440747789,0.395265358,0.395043772,0.419184737,0.414812525,0.444439687,0.417058002,0.426452198,0.418183773,0.452630317,0.444883688,0.424521747,0.43868913
S17_CRO-TER,0.196830136,0.489382368,0.550485877,0.50550663,0.321400112,0.56439611,0.261087029,0.482221961,0.494681374,0.426282194,0.409067204,0.378497506,0.383240452,0.422059981,0.524453945,0.516507937,0.469194519,0.51829073,0,0.3786918,0.488545341,0.533889216,0.158232369,0.309488664,0.213433323,0.227287906,0.269979461,0.390639292,0.182066916,0.351530741,0.317244996,0.286631714,0.238219925,0.190656388,0.261794047,0.474268466,0.476568863,0.345320327,0.210056063,0.294022003,0.184598517,0.232238901,0.483494675,0.487126849,0.505353096,0.478702267,0.496178756,0.545975053,0.486280269,0.488056249,0.53966568,0.530982304,0.407405547,0.357534401,0.220528298
S17_CRO-PRI,0.409562581,0.283882291,0.336956728,0.295807897,0.2803178,0.413622694,0.413605892,0.330008504,0.358768419,0.326421363,0.350525588,0.312446732,0.349825272,0.333460591,0.391659347,0.390723647,0.321279516,0.428431649,0.3786918,0,0.46649201,0.268559576,0.430464891,0.227797989,0.328751189,0.363676434,0.372300379,0.3365519,0.490607762,0.322311793,0.489128596,0.318544327,0.39692163,0.460629811,0.338767063,0.28705329,0.295376746,0.327706509,0.452629418,0.334690174,0.385162937,0.526786951,0.409092635,0.372215315,0.397248605,0.387420567,0.3892006,0.442714427,0.417352005,0.4197764,0.414035643,0.408006825,0.389555997,0.36513512,0.292357252
S17_WHY-CPR,0.534911669,0.550958474,0.611702967,0.551600673,0.453557342,0.627169578,0.523832838,0.571539684,0.463451307,0.46791078,0.364336296,0.454111857,0.370421812,0.403995502,0.569936114,0.4562465,0.494286247,0.560459712,0.488545341,0.46649201,0,0.589936521,0.525019361,0.430120927,0.470955436,0.464396859,0.458095442,0.52629716,0.575608406,0.502889721,0.555086551,0.479089182,0.501670875,0.5660137,0.482058734,0.538736333,0.531438041,0.41533551,0.530625042,0.38605439,0.494536642,0.596234261,0.484297934,0.502555329,0.526793551,0.459589053,0.483772273,0.531519666,0.498858186,0.468259817,0.462686663,0.487677332,0.363549019,0.444244328,0.45007477
S17_TUA-DIL,0.498022039,0.234661837,0.260612208,0.213858239,0.327806687,0.38607465,0.509126752,0.25548871,0.421611289,0.384518718,0.427269666,0.322543664,0.463344885,0.451751888,0.376725394,0.50339095,0.323611267,0.379009506,0.533889216,0.268559576,0.589936521,0,0.547670937,0.295501063,0.429918746,0.46492518,0.516561201,0.309563372,0.605891633,0.328212739,0.623439659,0.397878653,0.503297152,0.533651336,0.423607195,0.237104233,0.226026337,0.38951244,0.569092744,0.408512993,0.486281648,0.653963114,0.459551993,0.349563276,0.364206499,0.429853562,0.413577787,0.431613337,0.44389092,0.485653954,0.424399662,0.453487082,0.466629574,0.512120407,0.41960583
S17_GAL-FOR,0.166593191,0.510425035,0.572689081,0.526864382,0.346344888,0.577995443,0.316365036,0.522981912,0.534717005,0.482627192,0.4671415,0.413898848,0.43406578,0.47560624,0.537111861,0.560672237,0.491092564,0.552106961,0.158232369,0.430464891,0.525019361,0.547670937,0,0.313296224,0.186020995,0.218781194,0.26639857,0.413660485,0.174378833,0.377476394,0.275253503,0.325061873,0.24343428,0.164735064,0.231656625,0.510259256,0.489569968,0.375089616,0.139805256,0.313463743,0.15452815,0.205686452,0.529157386,0.53796911,0.558323354,0.522827927,0.543056424,0.592006404,0.511556638,0.528537953,0.578081939,0.574262173,0.455148245,0.399878744,0.208311126
S17_TUA-COR,0.319240658,0.300096373,0.362975813,0.306722158,0.189571442,0.409281809,0.364667407,0.330595919,0.385477144,0.347928984,0.311214503,0.233492516,0.304913301,0.342021188,0.386489851,0.43369995,0.311054293,0.405076817,0.309488664,0.227797989,0.430120927,0.295501063,0.313296224,0,0.181281061,0.229954755,0.29093618,0.262141998,0.385162217,0.222740117,0.432741689,0.270514014,0.317534284,0.358185199,0.220078381,0.289871277,0.2729073,0.259995522,0.359473221,0.243236286,0.299781621,0.447419769,0.40261741,0.382452946,0.395311207,0.38993387,0.394735748,0.446163288,0.38691586,0.413889411,0.430210484,0.440356466,0.346398182,0.35455881,0.192070326
S17_TUA-HIL,0.203927689,0.399325002,0.461707379,0.409621684,0.224182541,0.485061517,0.3300206,0.40319823,0.464515407,0.411143156,0.375598576,0.299978794,0.355267096,0.399286985,0.437659504,0.495975734,0.381369482,0.462557025,0.213433323,0.328751189,0.470955436,0.429918746,0.186020995,0.181281061,0,0.111479969,0.255444162,0.292748962,0.283645711,0.241975691,0.339212748,0.274315485,0.26286217,0.236584433,0.134006785,0.388087079,0.372259036,0.302892667,0.219514813,0.237668254,0.189297665,0.327215253,0.452603349,0.452783717,0.471621776,0.451561428,0.464379875,0.511828177,0.436828182,0.456961547,0.509692139,0.496841592,0.386752468,0.389382779,0.130172316
S17_TUA-FAR,0.222526508,0.428983826,0.496901145,0.435018637,0.236703422,0.50356685,0.34280163,0.426472267,0.472195648,0.408193479,0.374963012,0.30205875,0.360985485,0.402063757,0.445814619,0.486914732,0.413058823,0.467597545,0.227287906,0.363676434,0.464396859,0.46492518,0.218781194,0.229954755,0.111479969,0,0.266032066,0.308321126,0.289464183,0.240036811,0.36864376,0.307713081,0.2796701,0.240003589,0.17503309,0.415615238,0.411094175,0.297151725,0.246165947,0.245293283,0.212126388,0.339247439,0.453199817,0.450667821,0.470827521,0.447012361,0.458061141,0.511481444,0.439106244,0.453317765,0.508517029,0.499182203,0.387230327,0.38940748,0.179190075
