,S17_WIL-COR,S17_MFW-JAS,S17_MFW-OAK,S17_DES-WIK,S17_DES-BEN,S17_DES-MAD,S17_DES-BIG,S17_WIL-POR,S17_MET-SIS,S17_TRO-GAT,S17_TUM-BEN,S17_DES-BFA,S17_FAL-LAP,S17_CUL-LAP,S17_DES-LAP,S17_BRO-LAP,S17_ODE-LAP,S17_CRE-CRE,S17_CRO-TER,S17_CRO-PRI,S17_WHY-CPR,S17_TUA-DIL,S17_GAL-FOR,S17_TUA-COR,S17_TUA-HIL,S17_TUA-FAR,S17_TRY-LAK,S17_TUA-WES,S17_MOL-CAN,S17_PUD-WOO,S17_LNS-MEH,S17_NSA-MEH,S17_NSA-JEF,S17_WIL-ALB,S17_MAR-PHI,S17_SSA-WAT,S17_FAL-FAL,S17_MCK-SPR,S17_MOH-SPR,S17_MCK-COB,S17_WIL-HAR,S17_MOS-COT,S17_W01-HJA,S17_W02-HJA,S17_W03-HJA,S17_W06-HJA,S17_W07-HJA,S17_W08-HJA,S17_W09-HJA,S17_W10-HJA,S17_MAC-HJA,S17_LOO-HJA,S17_NSA-DET,S17_SSA-CAS,S17_LTR-NOT
S17_FAL-FAL,0.452296636,0.250923846,0.278677924,0.228489588,0.266839254,0.374958804,0.471473531,0.24139282,0.355732562,0.355816889,0.347114272,0.249168272,0.394154372,0.37698288,0.286326218,0.44756438,0.250124595,0.333411451,0.476568863,0.295376746,0.531438041,0.226026337,0.489569968,0.2729073,0.372259036,0.411094175,0.48028917,0.268291013,0.544697665,0.312491108,0.588310518,0.315619755,0.458795371,0.476577023,0.360677729,0.2002742,0,0.312909588,0.516389853,0.340983951,0.42220033,0.596313897,0.453583419,0.355040931,0.370319325,0.392113029,0.391411838,0.446312411,0.412824895,0.456358777,0.389928466,0.401164476,0.389316352,0.473964603,0.377659562
S17_MCK-SPR,0.35373168,0.348186749,0.442561283,0.368450962,0.306850965,0.452947333,0.387184151,0.381863561,0.336836342,0.294442303,0.294166282,0.261354104,0.29679378,0.291173448,0.370534259,0.375648289,0.327288837,0.319719076,0.345320327,0.327706509,0.41533551,0.38951244,0.375089616,0.259995522,0.302892667,0.297151725,0.348591346,0.34278796,0.425645703,0.301899737,0.461011746,0.326558528,0.346463475,0.376333476,0.323181335,0.29473845,0.312909588,0,0.374115028,0.209427528,0.302495795,0.473769957,0.375870687,0.377019211,0.389665747,0.353617174,0.375939804,0.435038423,0.341828424,0.363535752,0.391387409,0.3918555,0.298048922,0.302968033,0.291949042
S17_MOH-SPR,0.193693049,0.532645143,0.597799518,0.561078137,0.372473612,0.620061995,0.332722497,0.549754307,0.54317615,0.498765804,0.473208807,0.444432369,0.44081202,0.478980777,0.569731718,0.547225067,0.522796688,0.556500915,0.210056063,0.452629418,0.530625042,0.569092744,0.139805256,0.359473221,0.219514813,0.246165947,0.330520757,0.441528372,0.189443304,0.395242854,0.266119374,0.373334642,0.2792444,0.185898529,0.268032385,0.511663021,0.516389853,0.374115028,0,0.339129291,0.193971277,0.219743873,0.528733958,0.52155533,0.549217815,0.519778999,0.532191589,0.587140795,0.523026827,0.528153356,0.583248745,0.574227067,0.461949937,0.397931206,0.244007721
S17_MCK-COB,0.281136938,0.372897489,0.471962042,0.383629004,0.239490445,0.450657014,0.305161933,0.395571725,0.348188376,0.346205163,0.292399315,0.29856997,0.267333348,0.331422443,0.40346232,0.40239658,0.32959045,0.41546605,0.294022003,0.334690174,0.38605439,0.408512993,0.313463743,0.243236286,0.237668254,0.245293283,0.297798202,0.317990113,0.369572646,0.336311217,0.388038779,0.246138154,0.278106408,0.295815745,0.259392489,0.359836344,0.340983951,0.209427528,0.339129291,0,0.22732103,0.417986281,0.430732978,0.402779396,0.419748674,0.392695751,0.411478827,0.45946102,0.385875906,0.428455875,0.430301075,0.401992215,0.255699314,0.347096521,0.232451258
S17_WIL-HAR,0.122477411,0.441794555,0.539066403,0.470778294,0.282737133,0.521896186,0.229311247,0.47688863,0.483626643,0.442044004,0.418550914,0.36568363,0.391118536,0.438771377,0.474650781,0.514538253,0.418876626,0.501239575,0.184598517,0.385162937,0.494536642,0.486281648,0.15452815,0.299781621,0.189297665,0.212126388,0.284537591,0.369382195,0.212217282,0.356486624,0.283169085,0.239051372,0.180821783,0.150766588,0.229100233,0.443886412,0.42220033,0.302495795,0.193971277,0.22732103,0,0.242239366,0.517184996,0.488847561,0.511773778,0.486984438,0.502449585,0.555328432,0.484999101,0.505601181,0.52909238,0.528420141,0.39022459,0.363514496,0.224007251
S17_MOS-COT,0.224878024,0.609773465,0.657361426,0.628965952,0.450382889,0.674598951,0.262435502,0.611247078,0.606776557,0.569461412,0.553846724,0.523862549,0.523986342,0.557537679,0.622263482,0.617890211,0.589756593,0.636922283,0.232238901,0.526786951,0.596234261,0.653963114,0.205686452,0.447419769,0.327215253,0.339247439,0.326071111,0.524623184,0.200275523,0.49982785,0.20061119,0.396259791,0.22809668,0.231712813,0.346870254,0.604494243,0.596313897,0.473769957,0.219743873,0.417986281,0.242239366,0,0.605275018,0.606594829,0.632468446,0.589204289,0.609771123,0.660511237,0.59995128,0.603405596,0.644623758,0.646106898,0.535689767,0.45209566,0.336115095
S17_W01-HJA,0.543200808,0.440672028,0.467953818,0.433196274,0.45399309,0.509142182,0.526072771,0.433411543,0.406552653,0.303359756,0.333603317,0.362172922,0.375003206,0.329880578,0.523658189,0.425693649,0.441463374,0.440747789,0.483494675,0.409092635,0.484297934,0.459551993,0.529157386,0.40261741,0.452603349,0.453199817,0.409657655,0.472617393,0.5814578,0.447670431,0.532508681,0.502997856,0.5115243,0.582918805,0.487010197,0.428754965,0.453583419,0.375870687,0.528733958,0.430732978,0.517184996,0.605275018,0,0.318130385,0.267731607,0.237223928,0.236911752,0.220330818,0.277610818,0.222926749,0.303450793,0.361832713,0.401810797,0.413223831,0.444106629
S17_W02-HJA,0.511095506,0.351207378,0.42667151,0.332533998,0.395361538,0.434424175,0.475016807,0.358717733,0.376702072,0.26971613,0.323405419,0.334791256,0.381588066,0.359947263,0.44663872,0.411136508,0.356546371,0.395265358,0.487126849,0.372215315,0.502555329,0.349563276,0.53796911,0.382452946,0.452783717,0.450667821,0.450612979,0.402595719,0.581233434,0.413572803,0.551064607,0.446459208,0.498801479,0.53951779,0.477083994,0.343198352,0.355040931,0.377019211,0.52155533,0.402779396,0.488847561,0.606594829,0.318130385,0,0.206821906,0.269662257,0.2433723,0.264227301,0.314637466,0.347674283,0.292361745,0.348387289,0.381366291,0.430582572,0.439790993
S17_W03-HJA,0.537994023,0.382968654,0.407454771,0.354821728,0.417141332,0.467491479,0.510213636,0.363443573,0.389009642,0.28915833,0.326931806,0.341422787,0.382406066,0.353833369,0.475324982,0.446867096,0.380090098,0.395043772,0.505353096,0.397248605,0.526793551,0.364206499,0.558323354,0.395311207,0.471621776,0.470827521,0.457760442,0.415802568,0.6060036,0.434630926,0.573825548,0.470722142,0.520510305,0.574157059,0.490061895,0.371261602,0.370319325,0.389665747,0.549217815,0.419748674,0.511773778,0.632468446,0.267731607,0.206821906,0,0.249279099,0.21144574,0.225577503,0.282086855,0.333902754,0.266504461,0.333468624,0.386328896,0.449114968,0.460207466
S17_W06-HJA,0.51487887,0.412054386,0.445780348,0.400005882,0.410542124,0.508531338,0.488352786,0.41474785,0.37885648,0.260135611,0.271088979,0.346023466,0.350255412,0.319421548,0.475451445,0.406459285,0.378343817,0.419184737,0.478702267,0.387420567,0.459589053,0.429853562,0.522827927,0.38993387,0.451561428,0.447012361,0.42837115,0.425736752,0.574848828,0.434370173,0.53658646,0.454664613,0.496782599,0.549833547,0.46829257,0.388079855,0.392113029,0.353617174,0.519778999,0.392695751,0.486984438,0.589204289,0.237223928,0.269662257,0.249279099,0,0.175350656,0.21987302,0.289926237,0.281540707,0.25549071,0.333766834,0.356728586,0.410125183,0.436796434
S17_W07-HJA,0.526548878,0.415383883,0.439803442,0.396625619,0.41293457,0.516270907,0.501688875,0.421165424,0.381374939,0.259542772,0.283443952,0.349220792,0.368276442,0.337418505,0.480492101,0.41371515,0.375698786,0.414812525,0.496178756,0.3892006,0.483772273,0.413577787,0.543056424,0.394735748,0.464379875,0.458061141,0.446118121,0.4275062,0.591535802,0.436279489,0.562680301,0.466301671,0.512155244,0.567113199,0.4831747,0.385914503,0.391411838,0.375939804,0.532191589,0.411478827,0.502449585,0.609771123,0.236911752,0.2433723,0.21144574,0.175350656,0,0.197640374,0.313279933,0.290101998,0.260522046,0.324511108,0.365950152,0.426934518,0.448614414
S17_W08-HJA,0.57702176,0.438312386,0.454660924,0.40086403,0.469439428,0.524427371,0.546268082,0.410363948,0.424743081,0.299573474,0.352916886,0.406179111,0.418523511,0.393434103,0.515926507,0.465644192,0.425031298,0.444439687,0.545975053,0.442714427,0.531519666,0.431613337,0.592006404,0.446163288,0.511828177,0.511481444,0.496023197,0.468498275,0.640564011,0.480336839,0.602812986,0.51855105,0.561155924,0.607038376,0.53514868,0.420783295,0.446312411,0.435038423,0.587140795,0.45946102,0.555328432,0.660511237,0.220330818,0.264227301,0.225577503,0.21987302,0.197640374,0,0.30956912,0.321005961,0.274612679,0.371533875,0.425175997,0.474219086,0.498210824
S17_W09-HJA,0.524644769,0.417674562,0.447500189,0.400287584,0.438129365,0.480622535,0.508130418,0.386442094,0.386526357,0.299374254,0.299427907,0.356846534,0.333792448,0.304421323,0.471120779,0.414111635,0.396336754,0.417058002,0.486280269,0.417352005,0.498858186,0.44389092,0.511556638,0.38691586,0.436828182,0.439106244,0.393606149,0.441500261,0.575482314,0.418200195,0.521701696,0.472890039,0.488088521,0.558129368,0.471795406,0.38895078,0.412824895,0.341828424,0.523026827,0.385875906,0.484999101,0.59995128,0.277610818,0.314637466,0.282086855,0.289926237,0.313279933,0.30956912,0,0.3156205,0.30885896,0.344212277,0.361275459,0.415780989,0.428241113
S17_W10-HJA,0.543641334,0.443895079,0.474374852,0.446115446,0.461487402,0.517279105,0.52559816,0.456594255,0.414259364,0.327594732,0.347555473,0.372337325,0.378056515,0.337969583,0.502808129,0.410957034,0.431414222,0.426452198,0.488056249,0.4197764,0.468259817,0.485653954,0.528537953,0.413889411,0.456961547,0.453317765,0.420298795,0.486580836,0.577969727,0.454750386,0.544727217,0.493928987,0.505555847,0.571136294,0.482431246,0.417648681,0.456358777,0.363535752,0.528153356,0.428455875,0.505601181,0.603405596,0.222926749,0.347674283,0.333902754,0.281540707,0.290101998,0.321005961,0.3156205,0,0.3296548,0.363770001,0.396790283,0.386800733,0.446587288
S17_MAC-HJA,0.570901798,0.397709775,0.419709894,0.373648048,0.440828787,0.466294802,0.532156406,0.404523752,0.338016988,0.300321663,0.31242631,0.386984072,0.355508391,0.317620415,0.451125664,0.398523024,0.352087137,0.418183773,0.53966568,0.414035643,0.462686663,0.424399662,0.578081939,0.430210484,0.509692139,0.508517029,0.489722796,0.468432273,0.632019885,0.478478872,0.600556378,0.464019982,0.548594595,0.593190738,0.517767783,0.36319153,0.389928466,0.391387409,0.583248745,0.430301075,0.52909238,0.644623758,0.303450793,0.292361745,0.266504461,0.25549071,0.260522046,0.274612679,0.30885896,0.3296548,0,0.288291156,0.348335694,0.457118631,0.497021082
S17_LOO-HJA,0.567577277,0.418998648,0.43542172,0.412422241,0.452570543,0.401175522,0.532385794,0.424940146,0.249157546,0.341160738,0.291894273,0.409733396,0.29915955,0.254972755,0.359481684,0.303907204,0.332115956,0.452630317,0.530982304,0.408006825,0.487677332,0.453487082,0.574262173,0.440356466,0.496841592,0.499182203,0.490095284,0.470151384,0.627275554,0.472339514,0.593792958,0.455822789,0.544746785,0.595168894,0.50967493,0.366481303,0.401164476,0.3918555,0.574227067,0.401992215,0.528420141,0.646106898,0.361832713,0.348387289,0.333468624,0.333766834,0.324511108,0.371533875,0.344212277,0.363770001,0.288291156,0,0.323443436,0.45485882,0.48037135
S17_NSA-DET,0.438619634,0.417572247,0.496032814,0.416923677,0.338843724,0.487579096,0.39632209,0.426146476,0.287121458,0.340473662,0.22114448,0.342049353,0.2327595,0.279244365,0.421194631,0.362496383,0.320235848,0.444883688,0.407405547,0.389555997,0.363549019,0.466629574,0.455148245,0.346398182,0.386752468,0.387230327,0.381535944,0.390697037,0.505493039,0.409081737,0.482792675,0.329268633,0.409409047,0.468711091,0.400472391,0.386018167,0.389316352,0.298048922,0.461949937,0.255699314,0.39022459,0.535689767,0.401810797,0.381366291,0.386328896,0.356728586,0.365950152,0.425175997,0.361275459,0.396790283,0.348335694,0.323443436,0,0.39251141,0.370600341
S17_SSA-CAS,0.392764442,0.46080831,0.525694552,0.476566951,0.397846916,0.533154428,0.372037541,0.47093037,0.408229382,0.361069241,0.382256533,0.397205465,0.359426735,0.353219643,0.508733158,0.295904838,0.442179642,0.424521747,0.357534401,0.36513512,0.444244328,0.512120407,0.399878744,0.35455881,0.389382779,0.38940748,0.305697275,0.456307848,0.445824961,0.427869975,0.40417474,0.371796826,0.377803375,0.430717946,0.41066644,0.418462726,0.473964603,0.302968033,0.397931206,0.347096521,0.363514496,0.45209566,0.413223831,0.430582572,0.449114968,0.410125183,0.426934518,0.474219086,0.415780989,0.386800733,0.457118631,0.45485882,0.39251141,0,0.333354082
S17_LTR-NOT,0.234656808,0.381766282,0.446424681,0.400882601,0.235350355,0.492485499,0.31098683,0.372546741,0.443386603,0.387218617,0.371626201,0.326898564,0.337889355,0.376125918,0.43408966,0.469360674,0.377203956,0.43868913,0.220528298,0.292357252,0.45007477,0.41960583,0.208311126,0.192070326,0.130172316,0.179190075,0.229111194,0.287831578,0.302707163,0.245719489,0.329216745,0.259968547,0.253678247,0.270342162,0.149488318,0.368870179,0.377659562,0.291949042,0.244007721,0.232451258,0.224007251,0.336115095,0.444106629,0.439790993,0.460207466,0.436796434,0.448614414,0.498210824,0.428241113,0.446587288,0.497021082,0.48037135,0.370600341,0.333354082,0
