	AUG-002	AUG-003	AUG-004	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-011	DES-012	DES-013	DES-014	DES-018	WLT-001	WLT-002	WLT-003	WLT-004	WLT-005	WLT-006	WLT-007	WLT-008	WLT-009	WLT-010	WLT-011	WLT-013	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-021	WLT-022	WLT-023	WLT-024	WLT-025	WLT-026	WLT-027	WLT-028	WLT-029	WLT-030	WLT-031	WLT-032	WLT-033	WLT-034	WLT-035	WLT-036	WLT-037
AUG-002	0.0	0.09968616763543256	0.15571031819050118	0.13253366314014506	0.12075384623240108	0.12311051624088572	0.12983632452277724	0.15945841446394832	0.14646187244315192	0.15329206997334713	0.1286682675297261	0.09463637549909908	0.13941053454716015	0.23484544483661404	0.12822580864837374	0.17093133935097615	0.13603555037416198	0.1066175673046229	0.12762438673658252	0.19214277709254782	0.15322761210997354	0.18811574842969092	0.19529635238842796	0.1807112528185836	0.16211295677442006	0.19861048233297407	0.19382420405244413	0.1636395433583343	0.13778712975830382	0.17539386581394487	0.1969696949339118	0.19235333979438363	0.11305546155112062	0.14952890314531278	0.12882979492655866	0.1509436985032254	0.13309595995456527	0.16737120215830603	0.14758622758133785	0.11999211631198349	0.15551733417642852	0.13613889310557076	0.14089924340345075	0.1317124788349614	0.1757368060648129	0.15585867562385622	0.16209504039192468	0.12418907450380329	0.12935079660987348	0.11958321184696204	0.25420765258827904	0.14249619195315444
AUG-003	0.09968616763543256	0.0	0.13144401929911947	0.1338148899966779	0.15058287660064848	0.15598913804821712	0.15592231106314186	0.1688083101030782	0.19121717194418103	0.20359454878971814	0.17741748470117125	0.14875484063546418	0.18818191990795333	0.2265729099803376	0.17415081625782106	0.17653412164778148	0.18805464530592525	0.131570993179017	0.11716174544117856	0.2337191610158587	0.18975899731251478	0.23525940567625298	0.23911614837291909	0.2255186247937494	0.2132527622981779	0.24479489592866585	0.23240962712773863	0.2152474179378848	0.18456188000733614	0.22505251617560978	0.2429968913469362	0.23878605004152412	0.12357641063309144	0.19695019109251075	0.17926124060219684	0.1921375833623976	0.1818844083630845	0.21924790903316624	0.17202549603324968	0.18241591304621144	0.1810345767187753	0.17688348569655485	0.1793904154999657	0.1724278538661832	0.20125176012718368	0.20393373968692527	0.18825889810253724	0.17840853049145108	0.17906984198412457	0.17925159098890944	0.2428441308039407	0.1745524262101485
AUG-004	0.15571031819050118	0.13144401929911947	0.0	0.12819989250512515	0.22077395373478428	0.22501722884361564	0.213807977448393	0.19760234510326172	0.1956373176636881	0.19418003942514647	0.21136299602103503	0.2009070025612019	0.20583019849512482	0.2663636851887566	0.18619432161415603	0.25751259484382033	0.23641681736773867	0.18443261369800956	0.1465069003162032	0.23893175956614768	0.2002406332926922	0.23293854919736504	0.2350648006190399	0.22903613689707258	0.20723507892406262	0.25311793164030355	0.23506289747028714	0.23655767215553472	0.19807390657117005	0.23740686640094194	0.24217743237694633	0.238206778333905	0.2039999071308609	0.20504919794394957	0.2368104759525412	0.2550336202042716	0.1904084118460533	0.22280935728935738	0.24552997354066822	0.20243262246578597	0.1850486574562674	0.1896186162429623	0.1922646927655611	0.1897161802566999	0.19499270682782718	0.22125266464386778	0.20585937602183585	0.19382798464019144	0.20541728391606304	0.20859477949293384	0.28656882751143536	0.238214009362229
AUG-006	0.13253366314014506	0.1338148899966779	0.12819989250512515	0.0	0.18293850076304108	0.1595365941007832	0.2169164734583206	0.2467666127373119	0.1605309238936706	0.11673296467418634	0.14573387397917764	0.15751115203560867	0.14610063464760906	0.3145891375723591	0.14712005085026092	0.22048169277414087	0.1567914023689409	0.1534409343885647	0.07767294022462991	0.14705403867852834	0.09782669650139927	0.14111098674126463	0.14930561374129317	0.1467379443402333	0.12397980970700191	0.15500209487483316	0.14464232632563168	0.1492115088571721	0.12640181053190427	0.152039176023455	0.14333878173814632	0.14457245426797996	0.19573022933380158	0.1295373574025473	0.16023872882923318	0.1673035796934277	0.10770959092868158	0.13522309777649058	0.15926058722357345	0.17402989574504876	0.21310833383175715	0.17005495465463172	0.2082003779468484	0.19295507087263547	0.23659584788614044	0.14130274473779328	0.2124546489004239	0.18511127553358053	0.1800776826115543	0.15037335304733737	0.3165724373402592	0.14977027887439015
AUG-007	0.12075384623240108	0.15058287660064848	0.22077395373478428	0.18293850076304108	0.0	0.12733585095231711	0.11487530071726755	0.16606581612847915	0.1950644116267005	0.20585880719455035	0.13290970321019746	0.12572370760622273	0.14263419539748423	0.2114574919294778	0.17104500530806208	0.1346278589704106	0.16156820428324065	0.15269886764856822	0.19858803167808328	0.21599535541028295	0.1995147905203806	0.21895633781254822	0.22899251472516435	0.2051148247861694	0.20599454092175193	0.21267360083675854	0.22458532983348695	0.17165683620999678	0.18480302130229923	0.19346838087873516	0.21165975268402745	0.2116810197239913	0.10528724838772725	0.1977418603940079	0.1045677731027177	0.14386561409116694	0.16882056033249002	0.20019595568586554	0.1568117738610938	0.12613073317941048	0.19561286164220662	0.17722522508955518	0.16986540050776672	0.15797847745605564	0.19653543974267634	0.18716520717374868	0.13472622999033806	0.15936305818882154	0.13201946777564058	0.15297624995825437	0.20404878314347616	0.15615029940732864
AUG-008	0.12311051624088572	0.15598913804821712	0.22501722884361564	0.1595365941007832	0.12733585095231711	0.0	0.1414262040590965	0.1801092204219865	0.1528360056705539	0.14794426343475034	0.12877050835311207	0.12370709063457032	0.1360301767525207	0.24222681232780552	0.1613243128118233	0.13295403927479857	0.11262125515410638	0.14514023067744522	0.1487926930714578	0.17147566413123336	0.15981090293326697	0.156021711306633	0.17124136888902325	0.16283807865887456	0.13984129858522254	0.18067473015333013	0.1624783218446713	0.15723962071985048	0.14676514302161528	0.16768919468015986	0.17454260354799378	0.16368997608434746	0.11812496995953316	0.14770635663397824	0.10505924038443583	0.09875890360398311	0.1519526041650789	0.1655175141211678	0.10808209511512917	0.17547601680112163	0.23011161105772582	0.1914153878826875	0.20924994582266734	0.20117647894481677	0.23888610740614544	0.16024111714031167	0.20513733851276694	0.18717532017969984	0.17473936378951602	0.12171999854039006	0.2269488205727516	0.09939152633743048
DES-001	0.12983632452277724	0.15592231106314186	0.213807977448393	0.2169164734583206	0.11487530071726755	0.1414262040590965	0.0	0.14589945704833165	0.18685819709868565	0.2232244651845136	0.1515412242210999	0.11917846131462423	0.18970903964610894	0.1992706000258745	0.16957556753529926	0.12209210893858767	0.18912432995382153	0.15136811559155794	0.20153967087186997	0.2466262009166741	0.22586188736003834	0.24772586309418104	0.2548830209141556	0.2347765232364957	0.22760320871018394	0.25517925204965175	0.252418439126661	0.21813544831420553	0.1978972522570868	0.2276315197196709	0.24905792650939326	0.24873579971516832	0.10213691134708724	0.20768254205997705	0.0958285490369477	0.15866542720028626	0.18876014318551532	0.21355739179840552	0.2011537254159621	0.15791093978874776	0.1932111459725391	0.16520333467055032	0.168036546380313	0.15343590550130348	0.1959248088407703	0.19504190368554797	0.1709811561179721	0.15892211170405368	0.15091367412679552	0.15391486158342088	0.17529317867399094	0.19329765241448893
DES-005	0.15945841446394832	0.1688083101030782	0.19760234510326172	0.2467666127373119	0.16606581612847915	0.1801092204219865	0.14589945704833165	0.0	0.21567163822933638	0.2601741163241065	0.19951441366867356	0.15824835773810011	0.21186323933677034	0.20641217429286998	0.19159891265905812	0.2061920371637191	0.21621681825269454	0.18546625475448375	0.23603254845729088	0.2779742945161877	0.2655777924806823	0.2804526689651423	0.282703448397614	0.26483095990471545	0.2570375427704349	0.282931309440757	0.2758332023930179	0.24941347125419883	0.23670345529620165	0.25777336480921487	0.27893037476618887	0.2783437494483668	0.1575854849382412	0.2386932491601891	0.18254796898584036	0.20772479567898602	0.23020311241872246	0.2490695051722197	0.21625783000496276	0.17603527857568824	0.1679798961544535	0.18241319935082712	0.15590106417322247	0.15490866503578463	0.16062288201240252	0.2313924043069919	0.17314791582494574	0.14586526845156167	0.17903803714531988	0.19489293925452392	0.21945215447207506	0.21851952760978383
DES-006	0.14646187244315192	0.19121717194418103	0.1956373176636881	0.1605309238936706	0.1950644116267005	0.1528360056705539	0.18685819709868565	0.21567163822933638	0.0	0.12200471728269816	0.10119058734339909	0.11269060252608895	0.13336732536944362	0.2914373808539492	0.1048669491113773	0.24631699760178216	0.12260639968699752	0.13661066418821904	0.1402034804904474	0.1614747502239318	0.1430439984687769	0.14177361279945536	0.1707510640674054	0.14903959642155223	0.11722855145454227	0.16751682461714434	0.15697297924901507	0.1429488865416401	0.10475244611272976	0.14227166292951599	0.16502549092647462	0.16297079369218004	0.19862527237614724	0.11449144366712136	0.1770490631370356	0.16608515716228575	0.1250784782887986	0.130915606014136	0.16006093245219447	0.16080646738928878	0.19258942697478781	0.14086241704925773	0.16590286791788217	0.14644136256685908	0.18806094651413652	0.127609184467352	0.17295805960612154	0.1326497262733697	0.1386242084752997	0.0853761113390994	0.3136164122282306	0.14513051353974177
DES-007	0.15329206997334713	0.20359454878971814	0.19418003942514647	0.11673296467418634	0.20585880719455035	0.14794426343475034	0.2232244651845136	0.2601741163241065	0.12200471728269816	0.0	0.14919657223794786	0.16735457121883138	0.14930440991231264	0.32686527937102455	0.159871160865724	0.24604024489828136	0.1089059075545996	0.1606141388429402	0.1259193253186728	0.08498041509637011	0.05210189774622411	0.05925321890757691	0.11746127951551841	0.07641996488445535	0.05333478934047716	0.10000434379828235	0.07766356783114961	0.1018198948328058	0.08069659722002868	0.0928148314862101	0.08310146354835209	0.08108070772440801	0.21123905638546334	0.07320778528191496	0.17266009444436972	0.13490502183521494	0.1080377238940873	0.07089526200466645	0.10727893342244306	0.17943009719253916	0.23318245341916435	0.18438355415983448	0.22034773083661446	0.20660086225451726	0.2489134999042343	0.13178206632848755	0.22109519630908858	0.19333008309822267	0.1922716445847193	0.13135578895930114	0.34072372342024043	0.08959436783374763
