	AUG-001	AUG-002	AUG-003	AUG-004	AUG-005	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-011	DES-012	DES-013	DES-014	DES-018	WLT-001	WLT-002	WLT-003	WLT-004	WLT-005	WLT-006	WLT-007	WLT-008	WLT-009	WLT-010	WLT-011	WLT-013	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-021	WLT-022	WLT-023	WLT-024	WLT-025	WLT-027	WLT-028	WLT-029	WLT-030	WLT-031	WLT-032	WLT-033	WLT-034	WLT-035	WLT-036	WLT-037
AUG-007	0.17222967853847962	0.2270968263837489	0.40237468311939145	0.28310585273985156	0.20433345622121163	0.20858678383981008	0.0	0.3004818649203975	0.285390794230667	0.29846984869802035	0.36810029151728285	0.23130416059446327	0.2972548782440135	0.24766384812227582	0.3306106093189401	0.2640861983687367	0.3339634326000888	0.3734543074278339	0.21289618228076795	0.11606835946549944	0.34140814003220454	0.31072215290147653	0.1792285978668812	0.261909963213544	0.2767288940867621	0.1683591470045485	0.3369882497203863	0.27223148488719373	0.32804398665250595	0.2068664111484626	0.1377930595626287	0.0875303501326508	0.2865831696194032	0.24258283406713557	0.34725046028606993	0.3497297342392378	0.26835295857265995	0.2849150870745054	0.2590426124362554	0.202570440404728	0.20143011618327364	0.2665929606602028	0.36770014732928596	0.31922005873921383	0.3591755936731819	0.3566956164338363	0.43106863320856265	0.25214422612072956	0.311365858583192	0.3694765732332127	0.3722551995273749	0.13276819155991465	0.22123524236077557
AUG-008	0.26362314230466855	0.2051075655499134	0.2491396274926582	0.16057537265097804	0.15201176520205548	0.31597097241161104	0.3004818649203975	0.0	0.38473174366736607	0.27887694361267334	0.3224568811260795	0.15271622321467684	0.328496563276479	0.33961211897758253	0.1885770839512167	0.42817687390091974	0.2397301638823983	0.2368717042799735	0.31517627223248434	0.353844502373143	0.2159608072187802	0.31022679958473653	0.22011667206684804	0.22378358053262845	0.19889055017959123	0.3748697160614436	0.10759601780776346	0.3166812532522994	0.08116148218242845	0.4231273513736941	0.2679446122870115	0.3063927193527122	0.22720998536727763	0.17980960955765277	0.21304849267392817	0.22076206529456927	0.2547591139076153	0.26530790874118393	0.2711763932654666	0.26695101257549186	0.35745365222634656	0.30763806191784304	0.266223732652893	0.27983326821581256	0.25702487791388323	0.2476552728671658	0.3483759456021872	0.3086099746596463	0.28094082937362813	0.33278340509297794	0.3693327057666118	0.3364693222983806	0.250363193104832
DES-001	0.32562867700517517	0.268683473613847	0.46246986424861153	0.31967778975031025	0.27751597050488125	0.2674066482796612	0.285390794230667	0.38473174366736607	0.0	0.28112042443115176	0.19404123311448399	0.2900452915422331	0.16259688399585653	0.15531294251638403	0.3521911616199746	0.1426200547615406	0.31706375841818046	0.41033846549421477	0.34292398827289144	0.2610624047086639	0.3628151048675051	0.35910859394645445	0.28780437170560313	0.3280135923419321	0.3445375438733947	0.3473977262963978	0.4313526524852782	0.3717722788839738	0.41944672373443104	0.3791656098218608	0.27099695395263895	0.2979582552454628	0.36950454130491717	0.3211976393640666	0.35353913890946537	0.359953744593472	0.25101874993784834	0.34411951459315443	0.22803233638797207	0.307099742631389	0.3768045468120672	0.24089643875560596	0.33217513352937184	0.2926871359356098	0.3252484853921698	0.3330329925392729	0.3614426204419564	0.2750017346387061	0.2529923217542591	0.19267569118832512	0.1644744503522265	0.30577648596086243	0.311767221665557
DES-005	0.31268583280131945	0.22112166119000945	0.3325794344448331	0.20548653994195576	0.21064864435538988	0.27509703035524574	0.29846984869802035	0.27887694361267334	0.28112042443115176	0.0	0.23135881318913593	0.20127418890196472	0.24152876476254126	0.23733071066753572	0.28828088228546367	0.2933651779856389	0.26870330654452335	0.309099703323499	0.344150906458882	0.27039836685182894	0.23672805696110166	0.3585491688892679	0.2607963636100625	0.2846998202956823	0.2824464614819502	0.38903499392698393	0.3212321735712655	0.3619486717051066	0.3159571192877248	0.4238515612826388	0.2814033376687357	0.3304541948936655	0.3122733146782462	0.26818725835422697	0.24850176776524305	0.2607450608466831	0.2578951059935945	0.3144041693261944	0.2750520955605207	0.3169636032624898	0.40978778827293033	0.223272136249443	0.2071042549480689	0.18958188681629548	0.19663595336105932	0.2063510893970893	0.33901340738199714	0.2570881434300775	0.15503570193132968	0.25966150828979323	0.28818299337026215	0.35312669614944425	0.2976358995819368
DES-006	0.35874903796708824	0.2918273173126524	0.39867564798160654	0.2629060126175328	0.28595878327759433	0.3443861626682049	0.36810029151728285	0.3224568811260795	0.19404123311448399	0.23135881318913593	0.0	0.2768125035314069	0.17949781713504911	0.20138744674120565	0.3106589177152989	0.2041744946727856	0.27425553225451904	0.3482870473557117	0.4025407612855543	0.3395071757224057	0.29188002785329786	0.3998493476986798	0.3104988582323435	0.3398674226835311	0.34818360456717373	0.42104370027060417	0.3816370116774957	0.4202825095074729	0.35302492630653926	0.4576786228524181	0.3327035089565545	0.37671991522230164	0.3852913144336313	0.32637780143502665	0.28236628191725904	0.3032023656381066	0.25507941901484665	0.3617916810369105	0.2595580736637351	0.35728074251581043	0.44853042805435983	0.2385636140289208	0.23828046552331153	0.209888111306182	0.21379496305042314	0.22576767627581787	0.2983963347113814	0.2943153189136663	0.18737542161436802	0.1485945389693842	0.15754883508771655	0.3858524989242316	0.33686684575907677
DES-007	0.21653665265481947	0.12572262529776107	0.23771968120518122	0.11846284231627113	0.08535532445587556	0.22645202287749508	0.23130416059446327	0.15271622321467684	0.2900452915422331	0.20127418890196472	0.2768125035314069	0.0	0.24837594299079702	0.257772638401528	0.2408243863601811	0.32487038558525955	0.2118679535170506	0.2462564436887152	0.252000168057729	0.2794294405170903	0.18268031447265318	0.26132239502192767	0.1591980488420877	0.1761187128227912	0.17152634162761984	0.3305038583858593	0.2045815026653533	0.24616558338278846	0.1768378348387039	0.37731071127432414	0.20292983672278508	0.2571697705141351	0.18473303328047472	0.14060912919967344	0.19737504946581477	0.19456627102729426	0.1918013296735875	0.22026649922736094	0.21627263767110363	0.2227659764973949	0.3159071305600208	0.2143251725692299	0.2415380809345309	0.20889983946686816	0.22551695141803452	0.2149280532668461	0.3595471550914418	0.24854173949956018	0.1939321450084179	0.2948208609547012	0.32488839622438076	0.2880680127590632	0.20546357173711927
DES-008	0.28888782188586654	0.2433291527947451	0.432925597436857	0.2926996932736385	0.2282383912998667	0.26774733908521536	0.2972548782440135	0.328496563276479	0.16259688399585653	0.24152876476254126	0.17949781713504911	0.24837594299079702	0.0	0.12724728966988935	0.3365088305272099	0.18831411561089317	0.2816106776173632	0.3650601524050364	0.31857145424846467	0.2590276185195118	0.321805050074962	0.3169382351477891	0.2429396789125518	0.2680911917380655	0.28188719082942687	0.3385235167256413	0.39561309078788426	0.34118118784317286	0.3573678391958886	0.390808208178067	0.2707518158905834	0.2963440895476838	0.3116689317405561	0.2630561601566732	0.3214440516008613	0.3254503801703386	0.19294924488517595	0.2911616426053842	0.18124768146280584	0.2702104634766868	0.3518481267344104	0.2140804710212671	0.30617980726640565	0.2554427192567067	0.30174414163223034	0.31130725830864586	0.32630386903260283	0.23709028512808403	0.2212098226959044	0.2347801523361544	0.2069045930470849	0.29302071533195684	0.2638775305130627
DES-009	0.27296221741174875	0.22382805337318382	0.41646726018062324	0.2840780220169593	0.24057062780633862	0.2306060573770483	0.24766384812227582	0.33961211897758253	0.15531294251638403	0.23733071066753572	0.20138744674120565	0.257772638401528	0.12724728966988935	0.0	0.31612945978423185	0.1694542561463037	0.27671240955904935	0.3603719787046468	0.29439633307756097	0.2055892638163386	0.30822872882057983	0.3199453000565161	0.22580742992791866	0.28441580888727763	0.30138701321591804	0.32864758778164	0.3799862267121186	0.32109786647500954	0.3689638635054792	0.3731464835764314	0.21963839008783845	0.27728863967210704	0.3251005297138213	0.2770526905346261	0.30232092926416554	0.3075189063066159	0.22300886271479736	0.3030736444713979	0.20990568637377066	0.26846632986966157	0.3477009320637728	0.2043200729450973	0.2892014751070278	0.24364202529797135	0.2852686596611223	0.28436464807722844	0.344951136066292	0.22265502009465557	0.2004702221584463	0.21099532154267014	0.23744933684358802	0.2891138935854638	0.250438858168464
DES-010	0.3553938898989003	0.2425048379010761	0.3064313411980488	0.21259462424578449	0.2277044522543227	0.32379937913038864	0.3306106093189401	0.1885770839512167	0.3521911616199746	0.28828088228546367	0.3106589177152989	0.2408243863601811	0.3365088305272099	0.31612945978423185	0.0	0.3888451268555959	0.22974182747494448	0.2950728849983543	0.3913500478563901	0.3243906309243403	0.2549492267755612	0.4083512637622676	0.3192278658445446	0.32749214525165743	0.3035839561204902	0.4496966363962666	0.2028051712232025	0.398238152422066	0.22555298669022084	0.4994329343908053	0.28444875336081754	0.37910457879210885	0.33154638788682184	0.2874368451699017	0.2506497040106486	0.22244651152032005	0.3024916187597485	0.36112439499200505	0.32100980566554194	0.3644176323576057	0.4568655457437391	0.35626262179956697	0.2979625816207833	0.32640309185840544	0.30515897139242243	0.3026735262558824	0.4001628278673116	0.3641534819113228	0.2908526395547336	0.27629416894847014	0.34042330814774124	0.41822679728548895	0.34829028378515037
DES-011	0.3006973816021851	0.2997804092220283	0.47851742567957123	0.350364078994628	0.3132252933679778	0.24439041357292696	0.2640861983687367	0.42817687390091974	0.1426200547615406	0.2933651779856389	0.2041744946727856	0.32487038558525955	0.18831411561089317	0.1694542561463037	0.3888451268555959	0.0	0.3443860182660049	0.42718269250709734	0.3204978554309701	0.23163110050119884	0.3819532373747377	0.37689954825602684	0.2811172188715979	0.3662370213257267	0.38122522195340547	0.30681929318509255	0.46451823550749466	0.3661989797755831	0.4515994821651535	0.33523930192106693	0.25098997803150874	0.27748245442632036	0.4046154755570648	0.36024553033810175	0.36669006829916817	0.3843112703163127	0.2875947759507209	0.37248551958081094	0.26658147596473375	0.30304667603502417	0.3386367493734858	0.23744010447402816	0.3461079903519925	0.2904441075185505	0.3101373743694541	0.3269585538221289	0.376260647798728	0.2726156528030521	0.25176606144353286	0.23672119047405243	0.22269503786013484	0.26790747697984757	0.3097637271631301
DES-012	0.3471311750761881	0.1917139241206983	0.2826372111768023	0.21454825362466673	0.2256784087534792	0.2842106429995953	0.3339634326000888	0.2397301638823983	0.31706375841818046	0.26870330654452335	0.27425553225451904	0.2118679535170506	0.2816106776173632	0.27671240955904935	0.22974182747494448	0.3443860182660049	0.0	0.23029156779781124	0.36957843303361027	0.32189522793774333	0.1804220575137222	0.3931057428071515	0.29228759745113453	0.3207292760304724	0.3182517378683786	0.4597893147263199	0.26260991206311396	0.37384754711716306	0.2605825716495511	0.5091327475439773	0.2527311539171383	0.3896875540784941	0.3266663028676723	0.28589169267335196	0.1704775057955433	0.18548427597727923	0.2590641668564331	0.35850354280441143	0.26857982953872056	0.34788111801772187	0.43954581370002044	0.33584125376691387	0.2493504013933664	0.28303279274214865	0.27581396732114744	0.2916773437783787	0.4033907771288203	0.32811578115427986	0.24946240567681333	0.26154744116432527	0.3111185707244834	0.4090224696902404	0.3404520256744766
DES-013	0.37061508002745663	0.25097509507492904	0.3138177103688446	0.2194770658013164	0.26295038140798027	0.3421562187705482	0.3734543074278339	0.2368717042799735	0.41033846549421477	0.309099703323499	0.3482870473557117	0.2462564436887152	0.3650601524050364	0.3603719787046468	0.2950728849983543	0.42718269250709734	0.23029156779781124	0.0	0.3887391656426325	0.3883859292317297	0.20826737465135522	0.4023879911240778	0.324859559283538	0.33036184044421335	0.32782344845796596	0.47144577775229474	0.2612944367632962	0.38466867186972276	0.2628091732889107	0.5184279021530104	0.3088376631953625	0.4196406717599541	0.3426095137767269	0.3131063522939993	0.20487851569340854	0.22034514940703184	0.32536073200275917	0.36496051649189337	0.3415519507316286	0.37131950491920507	0.45140463848297757	0.36956973389371917	0.2641493671890389	0.31015229558555224	0.27062149127402196	0.2892098420152953	0.41701064182035935	0.35274798625851816	0.3007603477105063	0.3386831256226143	0.397010318415272	0.4360252523951254	0.3504858330168509
DES-014	0.12733070907320757	0.24756921023481382	0.38987978813578095	0.3185290910411917	0.23900516565804605	0.23034115690147033	0.21289618228076795	0.31517627223248434	0.34292398827289144	0.344150906458882	0.4025407612855543	0.252000168057729	0.31857145424846467	0.29439633307756097	0.3913500478563901	0.3204978554309701	0.36957843303361027	0.3887391656426325	0.0	0.24211544016900194	0.3653692213835075	0.13780772327959304	0.17110035285706807	0.1997018314799329	0.19512668930465363	0.27503155428449816	0.3482571929784056	0.10184509973946458	0.2796673699704177	0.30899209421475515	0.21331110978989307	0.21721341701686656	0.12659831933755133	0.22500977576021336	0.34525403938529375	0.35770017291766726	0.2681765407231656	0.19675543202563026	0.25853858220885134	0.15247926136711448	0.13599746129191959	0.2711089532107014	0.39877438871732956	0.3454098668904322	0.39421019716235883	0.37991151379570687	0.45799794637992625	0.2617517023912117	0.34095805908838644	0.4042463127301606	0.42657128766463076	0.24104963302550747	0.16637422587298487
DES-018	0.21939609109124006	0.2527909722033207	0.4143884159453016	0.3065950916827123	0.2546190047557445	0.19640617722124967	0.11606835946549944	0.353844502373143	0.2610624047086639	0.27039836685182894	0.3395071757224057	0.2794294405170903	0.2590276185195118	0.2055892638163386	0.3243906309243403	0.23163110050119884	0.32189522793774333	0.3883859292317297	0.24211544016900194	0.0	0.3211148116059906	0.34311071838947466	0.21396800644007657	0.29926758051617436	0.3120992776713519	0.21934005568633103	0.3863182578486872	0.3064913032210292	0.3774418055224207	0.2605617822818224	0.14382396513538306	0.15271407859858707	0.32705191151717095	0.29065347777111555	0.33707037362068776	0.3389166582058952	0.2656300393093542	0.3192712594811755	0.25983158014747276	0.23829334027598098	0.24111966496819842	0.2610067160918415	0.32827705536129465	0.3125951492925399	0.35329697407056265	0.3610360311735138	0.4092213324272768	0.2541808152010313	0.2830572966791113	0.3299919865717587	0.3537221462031324	0.179766187103928	0.25070622672536763
WLT-001	0.3405989878730369	0.18998888065378858	0.20835959480624355	0.15357956720689306	0.22857657325710068	0.30200715503039516	0.34140814003220454	0.2159608072187802	0.3628151048675051	0.23672805696110166	0.29188002785329786	0.18268031447265318	0.321805050074962	0.30822872882057983	0.2549492267755612	0.3819532373747377	0.1804220575137222	0.20826737465135522	0.3653692213835075	0.3211148116059906	0.0	0.3859103242473073	0.2773182847729478	0.3103258181112611	0.3136864853121625	0.44425653800155324	0.238739752833108	0.37452667207538126	0.2399206161986563	0.5003137435153787	0.2542389659918039	0.38567565981041235	0.3244177503940699	0.27539027375045355	0.11449813164764984	0.1275152485582534	0.2776565655193737	0.3456330327871552	0.3076196831321729	0.34442758131765455	0.440580001276004	0.2998964268496954	0.19879508823695946	0.22834252155814588	0.2192418797800214	0.22525018538857702	0.3826096777544878	0.3247459513912991	0.21987668659930587	0.2845843524929601	0.3641226479229731	0.40684906388345077	0.32509986559831716
WLT-002	0.15600495697168357	0.26232306827895674	0.4108102680773575	0.33804082417497516	0.2366866455534625	0.30087058429276753	0.31072215290147653	0.31022679958473653	0.35910859394645445	0.3585491688892679	0.3998493476986798	0.26132239502192767	0.3169382351477891	0.3199453000565161	0.4083512637622676	0.37689954825602684	0.3931057428071515	0.4023879911240778	0.13780772327959304	0.34311071838947466	0.3859103242473073	0.0	0.17789575900908028	0.10278776820442845	0.12564690506416426	0.25946875631822425	0.3617387771295756	0.1312405764741862	0.2695599203816784	0.3117764146007509	0.30578104877343565	0.28206376213334244	0.12295016205503562	0.15497437703124317	0.34914843146734337	0.3706599774084566	0.1952085451658883	0.08758064246070311	0.20216412760528654	0.13486129902962365	0.17874034941612413	0.25708390128156655	0.39686794740525166	0.3322360464349379	0.3836438710333144	0.3620326316726483	0.37464673001538606	0.2569323854088755	0.3387435567635855	0.4269665468995751	0.4262026885476853	0.2572917011031893	0.1351658966684424
