	AUG-002	AUG-003	AUG-004	AUG-006	AUG-007	AUG-008	DES-001	DES-005	DES-006	DES-007	DES-008	DES-009	DES-010	DES-011	DES-012	DES-013	WLT-011	WLT-014	WLT-015	WLT-016	WLT-018	WLT-020	WLT-022	WLT-023	WLT-027	WLT-031	WLT-032	WLT-033	WLT-034	WLT-035	WLT-036
AUG-002	0.0	0.21371199922004464	0.14390533169599107	0.21617582529617435	0.1592443212618348	0.263815503061442	0.1605879391678359	0.2162404350452846	0.1730013347847557	0.14505371254845556	0.28142416605325504	0.2765896439308081	0.12584468624526998	0.22451547173587005	0.23180280652938917	0.15183824296566334	0.08622701316325883	0.2519361384394717	0.25060320266005126	0.12248477652657203	0.13586599445015388	0.15985109697291533	0.21610146834720725	0.25114755309895526	0.22196774429668745	0.26068713776815616	0.24480816482019188	0.22228623182055798	0.22425302139229242	0.15967437674617757	0.22075394198363527
AUG-003	0.21371199922004464	0.0	0.26572410195555707	0.3357980108878723	0.26828816967217317	0.21287266437708952	0.24590979520886522	0.24923894546917724	0.2668515441192827	0.26037520192654623	0.3298451316828174	0.31843838208830605	0.21196089150152714	0.3022004235605706	0.28968718462811105	0.2585067142959431	0.2136768213162547	0.29463152486889704	0.3026375422413189	0.2470531653527635	0.21153515369659948	0.2465704417016782	0.29294831857193904	0.2995519890261176	0.27159537580996895	0.3313836960210257	0.31289517050165827	0.2578175404779273	0.2885387024308921	0.2918145331111428	0.28420784170955204
AUG-004	0.14390533169599107	0.26572410195555707	0.0	0.09745418916243706	0.18243805955869533	0.2889453492956062	0.16376299513328105	0.1744170884637505	0.21340348090785702	0.03527623392868291	0.2910455315263493	0.2782895258975944	0.1285584216730346	0.22435151418582436	0.24430739139605712	0.07842677176247342	0.1194244905542892	0.2543531215819589	0.26235913895438084	0.04656951429470336	0.17113946372467098	0.20066455819418097	0.2551356486785061	0.2584448923143654	0.24895084476430998	0.23595568061473138	0.24654395767048115	0.2161663034920013	0.23707208004013855	0.15494010890952906	0.2749469642008355
AUG-006	0.21617582529617435	0.3357980108878723	0.09745418916243706	0.0	0.23561602741856327	0.34381874540263224	0.24192662239304233	0.19350074584456728	0.2598660698774587	0.11824985943335997	0.32927543900050976	0.31314234627400517	0.19582474183425042	0.2636095541815261	0.2846540762411357	0.13874157315744562	0.20226795591666952	0.2936674354576655	0.2965453175049816	0.12731068058731812	0.24319739994960282	0.2717009030337587	0.30654681544521317	0.30520498027299797	0.2912362345111792	0.26014539785429885	0.28278936899838847	0.24881954003465617	0.27529521741134155	0.19384244761233513	0.31956724155216826
AUG-007	0.1592443212618348	0.26828816967217317	0.18243805955869533	0.23561602741856327	0.0	0.30354312694736935	0.08980115145050566	0.18318148701513298	0.12270117688927067	0.1843748689668018	0.20091590123433317	0.1901066508159846	0.20480069131476253	0.14330810997713428	0.14642601097105898	0.2201876134497244	0.14470348167043698	0.16497770893743974	0.17206701617712855	0.18879794041902784	0.20418976267422995	0.09667108970581378	0.15711186759667492	0.1696486580997457	0.1982438008898286	0.24851542788806774	0.1857551201781554	0.16832815950145058	0.15510996643577898	0.11736967165704619	0.15572700689718796
AUG-008	0.263815503061442	0.21287266437708952	0.2889453492956062	0.34381874540263224	0.30354312694736935	0.0	0.28083802917669026	0.2753594675451601	0.31783295905827236	0.2835576768586701	0.369248187349851	0.35392238089861594	0.17475698892813923	0.34164303342867053	0.32536684782934266	0.26445152681118417	0.25319457971807463	0.325806097556493	0.33381211492891494	0.27745658147898006	0.1572492605817083	0.2818312713279855	0.3289847268854422	0.3298978682888995	0.3044420227102578	0.33784737325941744	0.3503607344468494	0.2888675378095019	0.3256833963426178	0.33145280737016436	0.3233554766234159
DES-001	0.1605879391678359	0.24590979520886522	0.16376299513328105	0.24192662239304233	0.08980115145050566	0.28083802917669026	0.0	0.17103731842009556	0.13976185700718316	0.15687439832796202	0.19260298258257577	0.17280742162653884	0.18908454933689126	0.1572905312590896	0.14869330513354187	0.20468408995028023	0.12506100777481033	0.17405205032173218	0.17614413616091626	0.1740957706097513	0.19748571225246003	0.1132483854613268	0.17505386778526663	0.1709533106274846	0.15844092727930148	0.23131595684739406	0.1791450300653466	0.13937933263413982	0.1330430589666874	0.12359972651415958	0.16769321899168863
DES-005	0.2162404350452846	0.24923894546917724	0.1744170884637505	0.19350074584456728	0.18318148701513298	0.2753594675451601	0.17103731842009556	0.0	0.21278532597628172	0.1675679942994016	0.23975915002604453	0.217655118903603	0.21111736371161896	0.20822025938292593	0.17324434408156802	0.21653739527774193	0.19988952056804843	0.2066902602059421	0.20956814225325798	0.18753249657041063	0.2303240036784743	0.20675049983113805	0.24207603767981367	0.2180943656585284	0.20641479684274674	0.22680212770891575	0.220994336864926	0.1626663975578247	0.19404203982159654	0.17587432847302903	0.2313589413175098
DES-006	0.1730013347847557	0.2668515441192827	0.21340348090785702	0.2598660698774587	0.12270117688927067	0.31783295905827236	0.13976185700718316	0.21278532597628172	0.0	0.21049152293518916	0.20178218282088656	0.1839785818632459	0.21751262854986925	0.10968277218559978	0.14737411180713328	0.23591668996024875	0.1431933172969712	0.1781897827530278	0.18107450193289978	0.20579079342573944	0.2128837525563828	0.10590952817370118	0.1417513715404383	0.1922239863834312	0.20367011983220515	0.24687657474060581	0.16826423710356148	0.18965845513994878	0.14001037839818298	0.10852497588882361	0.17647658640324101
DES-007	0.14505371254845556	0.26037520192654623	0.03527623392868291	0.11824985943335997	0.1843748689668018	0.2835576768586701	0.15687439832796202	0.1675679942994016	0.21049152293518916	0.0	0.2889364657519582	0.2697977997652247	0.12557867007070078	0.22334143901454903	0.2400229633350455	0.06919485920573425	0.11343185967808901	0.2585612880061062	0.2665673053785282	0.033617296093332236	0.16487838541767252	0.205312845501649	0.2583235466584472	0.26411344758603966	0.2496962787048713	0.23509150917263347	0.24493103657364315	0.2175191570918993	0.23894266756109908	0.15434151953900155	0.2719058095850415
